Package name;Useless;Right URL;Old URL
argh;False;https://github.com/neithere/argh;http://github.com/neithere/argh
pysftp;True;https://github.com/pysftp/pysftp;
invoke;True;https://github.com/invoke/invoke;
zeep;True;https://github.com/zeep/zeep;https://github.com/mvantellingen/python-zeep
passlib;True;https://github.com/passlib/passlib;
requests-aws4auth;False;https://github.com/tedder/requests-aws4auth;https://github.com/sam-washington/requests-aws4auth
glob2;False;https://github.com/miracle2k/python-glob2;http://github.com/miracle2k/python-glob2
pycairo;False;https://github.com/ldo/qahirah;https://github.com/pygobject/pycairo
sphinxcontrib-websupport;True;https://github.com/sphinxcontrib-websupport/sphinxcontrib-websupport;
phoenixdb;True;https://github.com/phoenixdb/phoenixdb;
pyxdg;True;https://github.com/pyxdg/pyxdg;https://github.com/takluyver/pyxdg
flask-restful;False;https://github.com/flask-restful/flask-restful;https://www.github.com/flask-restful/flask-restful
aenum;True;https://github.com/aenum/aenum;
pygobject;True;https://github.com/pygobject/pygobject;
asgiref;False;https://github.com/django/asgiref;http://github.com/django/asgiref
python-gnupg;True;https://github.com/python-gnupg/python-gnupg;
unittest2;True;https://github.com/unittest2/unittest2;
avro-python3;True;https://github.com/avro-python3/avro-python3;https://github.com/apache/avro
mozfile;True;https://github.com/mozfile/mozfile;
expiringdict;True;https://github.com/expiringdict/expiringdict;https://github.com/mailgun/expiringdict
xlwt;True;https://github.com/xlwt/xlwt;https://github.com/python-excel/xlwt
pydocstyle;False;http://github.com/PyCQA/pydocstyle;https://github.com/PyCQA/pydocstyle
pypdf2;True;https://github.com/pypdf2/pypdf2;https://github.com/mstamy2/PyPDF2
cx-oracle;True;https://github.com/cx-oracle/cx-oracle;https://github.com/oracle/python-cx_Oracle
reportlab;True;https://github.com/reportlab/reportlab;
pygithub;False;https://github.com/pygithub/pygithub;https://github.com/PyGithub/PyGithub
nvidia-ml-py3;True;https://github.com/nvidia-ml-py3/nvidia-ml-py3;
mysql-connector;True;https://github.com/mysql-connector/mysql-connector;
html2text;False;https://github.com/alir3z4/html2text;https://github.com/Alir3z4/html2text
repoze-lru;True;https://github.com/repoze-lru/repoze-lru;https://github.com/repoze/repoze.lru
tensorflow-gpu;True;https://github.com/tensorflow-gpu/tensorflow-gpu;
suds-jurko;True;https://github.com/suds-jurko/suds-jurko;
python-jenkins;True;https://github.com/python-jenkins/python-jenkins;
slacker;False;https://github.com/os/slacker;http://github.com/os/slacker
hypothesis;False;https://github.com/hypothesisworks/hypothesis;https://github.com/HypothesisWorks/hypothesis-python
python-augeas;True;https://github.com/python-augeas/python-augeas;https://github.com/hercules-team/augeas
flask-migrate;False;https://github.com/miguelgrinberg/flask-migrate;http://github.com/miguelgrinberg/flask-migrate
grpcio-gcp;True;https://github.com/grpcio-gcp/grpcio-gcp;
mpmath;True;https://github.com/mpmath/mpmath;https://github.com/fredrik-johansson/mpmath
oauth;True;https://github.com/oauth/oauth;
pydispatcher;True;https://github.com/pydispatcher/pydispatcher;
webtest;True;https://github.com/webtest/webtest;https://github.com/Pylons/webtest
strict-rfc3339;True;https://github.com/strict-rfc3339/strict-rfc3339;
mmh3;False;http://github.com/hajimes/mmh3;https://github.com/hajimes/mmh3
multipledispatch;False;https://github.com/mrocklin/multipledispatch;http://github.com/mrocklin/multipledispatch
anyjson;False;https://github.com/ask/carrot;
oslo-i18n;True;https://github.com/oslo-i18n/oslo-i18n;https://github.com/openstack/oslo.i18n
pynamodb;False;https://github.com/pynamodb/pynamodb;https://github.com/pynamodb/PynamoDB
debtcollector;True;https://github.com/debtcollector/debtcollector;https://github.com/openstack/debtcollector
ruamel-ordereddict;True;https://github.com/ruamel-ordereddict/ruamel-ordereddict;
catkin-pkg;True;https://github.com/catkin-pkg/catkin-pkg;https://github.com/ros-infrastructure/catkin_pkg
pypiwin32;True;https://github.com/pypiwin32/pypiwin32;
