ID;Package name;Clone dir;Commit hash;N. Releases;Commit date; Avg time interval
33;sceptre;sceptre;6d4124bdc9d4d5277c3f5cdc5eb7d6db9696b667;2;2019-10-13;235
105;splunk-sdk;splunk-sdk-python;35ca7747b5eb327723a42053f57ea960c15892ce;8;2018-12-04;386
50;svglib;svglib;d6d08c4323a3656ee5ebe9a072a6e6237efde800;1;2020-03-22;0
1;tensorflow-gpu;tensorflow;3ade2efec2e90c6237de32a19680caaa3ebc2845;2;2020-08-25;68
2;tensorflow-gpu;tensorflow;eccb7ec454e6617738554a255d77f08e60ee0808;2;2020-10-19;14
4;tensorflow-gpu;tensorflow;3cbb917b4714766030b28eba9fb41bb97ce9ee02;2;2020-09-18;45
5;tensorflow-gpu;tensorflow;22e07fb204386768e5bcbea563641ea11f96ceb8;2;2020-09-18;45
6;tensorflow;tensorflow;d58c96946b2880991d63d1dacacb32f0a4dfa453;2;2020-09-18;45
7;tensorflow-gpu;tensorflow;390611e0d45c5793c7066110af37c8514e6a6c54;2;2020-09-18;45
8;tensorflow;tensorflow;0b5662bc2be13a8c8f044d925d87fb6e56247cd8;2;2020-09-18;45
9;tensorflow;tensorflow;204945b19e44b57906c9344c0d00120eeeae178a;2;2020-09-18;45
10;tensorflow;tensorflow;00302787b788c5ff04cb6f62aed5a74d936e86c0;2;2020-09-18;45
11;tensorflow-gpu;tensorflow;0462de5b544ed4731aa2fb23946ac22c01856b80;2;2020-09-18;45
12;tensorflow-gpu;tensorflow;27b417360cbd671ef55915e4bb6bb06af8b8a832;2;2020-09-18;45
13;tensorflow;tensorflow;8ee24e7949a203d234489f9da2c5bf45a7d5157d;2;2020-09-18;45
14;tensorflow-gpu;tensorflow;9a133d73ae4b4664d22bd1aa6d654fec13c52ee1;2;2020-09-18;45
15;tensorflow-gpu;tensorflow;33be22c65d86256e6826666662e40dbdfe70ee83;2;2020-09-18;45
16;tensorflow-gpu;tensorflow;adf095206f25471e864a8e63a0f1caef53a0e3a6;2;2020-09-18;45
17;tensorflow-gpu;tensorflow;da8558533d925694483d2c136a9220d6d49d843c;2;2020-09-18;45
37;tensorflow;tensorflow;49f73c55d56edffebde4bca4a407ad69c1cae433;73;2018-02-14;497
