ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v0.22.5;2015-05-30;2016-08-02;427
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.0.0;2015-05-30;2016-09-16;471
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.0.1;2015-05-30;2016-09-16;471
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.0.2;2015-05-30;2016-09-22;477
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.0.4;2015-05-30;2016-10-04;489
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.0.5;2015-05-30;2016-10-11;496
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.0;2015-05-30;2016-11-03;518
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.1;2015-05-30;2016-11-04;519
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.2;2015-05-30;2016-11-08;523
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.3;2015-05-30;2016-11-10;525
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.4;2015-05-30;2016-11-14;529
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.5;2015-05-30;2016-11-16;531
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.1.6;2015-05-30;2016-11-28;543
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v1.2.0;2015-05-30;2016-12-17;562
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.1.0;2015-05-30;2017-05-26;726
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.2.0;2015-05-30;2017-06-20;750
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.2.1;2015-05-30;2017-07-02;762
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.2.2;2015-05-30;2017-07-03;763
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.2.3;2015-05-30;2017-07-04;764
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.2.4;2015-05-30;2017-08-02;792
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.2.5;2015-05-30;2017-08-03;793
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.0;2015-05-30;2017-10-18;868
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.0a1;2015-05-30;2017-10-17;867
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.0a2;2015-05-30;2017-10-17;867
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.0a3;2015-05-30;2017-10-17;867
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.0a4;2015-05-30;2017-10-17;867
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.1;2015-05-30;2017-10-19;869
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.10;2015-05-30;2018-02-02;977
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.1a1;2015-05-30;2017-10-18;868
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.2;2015-05-30;2017-11-01;881
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.2b1;2015-05-30;2017-11-01;881
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.2b2;2015-05-30;2017-11-01;881
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.2b3;2015-05-30;2017-11-01;881
198;aiohttp;aiohttp;d9fdf551aaa388a738febe5ce697c0b07f597e94;v2.3.3;2015-05-30;2017-11-17;897
