Package name;GitHub URL
pypandoc;https://github.com/bebraw/pypandoc
cx-oracle;https://github.com/oracle/python-cx_oracle
pycairo;https://github.com/pygobject/pycairo
humanize;https://github.com/jmoiron/humanize
phoenixdb;https://github.com/apache/phoenix-queryserver
wasabi;https://github.com/ines/wasabi
hpack;https://github.com/python-hyper/hpack
ordered-set;https://github.com/luminosoinsight/ordered-set
pathos;https://github.com/uqfoundation/pathos
h2;https://github.com/python-hyper/h2
pystache;https://github.com/defunkt/pystache
hyperframe;https://github.com/python-hyper/hyperframe
django-debug-toolbar;https://github.com/jazzband/django-debug-toolbar
parse;https://github.com/r1chardj0n3s/parse
pyxdg;https://github.com/takluyver/pyxdg
progressbar2;https://github.com/wolph/python-progressbar
tomlkit;https://github.com/sdispater/tomlkit
supervisor;https://github.com/supervisor/supervisor
pox;https://github.com/uqfoundation/pox
pycountry;https://github.com/flyingcircusio/pycountry
backports-tempfile;https://github.com/pidelport/backports.tempfile
linecache2;https://github.com/testing-cabal/linecache2
python-utils;https://github.com/wolph/python-utils
ldap3;https://github.com/cannatag/ldap3
itypes;https://github.com/pavantatikonda/itypes
coreapi;https://github.com/core-api/python-client
google-cloud-firestore;https://github.com/googleapis/python-firestore
xlwt;https://github.com/python-excel/xlwt
lunardate;https://github.com/lidaobing/python-lunardate
coreschema;https://github.com/core-api/python-coreschema
pytest-metadata;https://github.com/pytest-dev/pytest-metadata
pytest-html;https://github.com/pytest-dev/pytest-html
pystan;https://github.com/stan-dev/pystan
semver;https://github.com/python-semver/python-semver
traceback2;https://github.com/testing-cabal/traceback2
pip-tools;https://github.com/jazzband/pip-tools
pyperclip;https://github.com/asweigart/pyperclip
pygobject;https://github.com/gnome/pygobject 
ppft;https://github.com/uqfoundation/ppft
redis-py-cluster;https://github.com/grokzen/redis-py-cluster
inflect;https://github.com/jaraco/inflect
opentracing;https://github.com/opentracing/opentracing-python
azure-cli;https://github.com/azure/azure-cli
expiringdict;https://github.com/mailgun/expiringdict
click-plugins;https://github.com/click-contrib/click-plugins
pygsheets;https://github.com/nithinmurali/pygsheets
confluent-kafka;https://github.com/confluentinc/confluent-kafka-python
dicttoxml;https://github.com/quandyfactory/dicttoxml
sasl;https://github.com/cloudera/python-sasl
structlog;https://github.com/hynek/structlog
distributed;https://github.com/dask/distributed
dateparser;https://github.com/scrapinghub/dateparser
mmh3;https://github.com/hajimes/mmh3
sympy;https://github.com/sympy/sympy
w3lib;https://github.com/scrapy/w3lib
apscheduler;https://github.com/agronholm/apscheduler
twilio;https://github.com/twilio/twilio-python
feedparser;https://github.com/kurtmckee/feedparser
pydantic;https://github.com/samuelcolvin/pydantic
fire;https://github.com/google/python-fire
django-redis;https://github.com/jazzband/django-redis
gym;https://github.com/openai/gym
hypothesis;https://github.com/hypothesisworks/hypothesis
apispec;https://github.com/marshmallow-code/apispec
aspy-yaml;https://github.com/asottile-archive/aspy.yaml
whitenoise;https://github.com/evansd/whitenoise
cligj;https://github.com/mapbox/cligj
eventlet;https://github.com/eventlet/eventlet
rx;https://github.com/reactivex/rxpy
glob2;https://github.com/miracle2k/python-glob2
uptime;https://github.com/cairnarvon/uptime
marshmallow-sqlalchemy;https://github.com/marshmallow-code/marshmallow-sqlalchemy
tensorboard-plugin-wit;https://github.com/pair-code/what-if-tool
azure-kusto-data;https://github.com/azure/azure-kusto-python
parameterized;https://github.com/wolever/parameterized
heapdict;https://github.com/danielstutzbach/heapdict
flask-admin;https://github.com/flask-admin/flask-admin
flask-migrate;https://github.com/miguelgrinberg/flask-migrate
astunparse;https://github.com/simonpercivall/astunparse
ratelimit;https://github.com/tomasbasham/ratelimit
convertdate;https://github.com/fitnr/convertdate
fiona;https://github.com/toblerity/fiona
zict;https://github.com/dask/zict
yapf;https://github.com/google/yapf
slacker;https://github.com/os/slacker
thrift-sasl;https://github.com/cloudera/thrift_sasl
python-consul;https://github.com/cablehead/python-consul
flask-caching;https://github.com/sh4nks/flask-caching
poetry;https://github.com/python-poetry/poetry
google-cloud-vision;https://github.com/googleapis/python-vision
python-mimeparse;https://github.com/dbtsai/python-mimeparse
stringcase;https://github.com/okunishinishi/python-stringcase
josepy;https://github.com/certbot/josepy
html2text;https://github.com/alir3z4/html2text
binaryornot;https://github.com/audreyfeldroy/binaryornot
flask-babel;https://github.com/python-babel/flask-babel
zope-component;https://github.com/zopefoundation/zope.component
shap;https://github.com/slundberg/shap
acme;https://github.com/certbot/certbot
msal;https://github.com/azuread/microsoft-authentication-library-for-python
deprecation;https://github.com/briancurtin/deprecation
cleo;https://github.com/sdispater/cleo
cookiecutter;https://github.com/cookiecutter/cookiecutter
requests-futures;https://github.com/ross/requests-futures
blobfile;https://github.com/christopher-hesse/blobfile
pastel;https://github.com/sdispater/pastel
poyo;https://github.com/hackebrot/poyo
fakeredis;https://github.com/jamesls/fakeredis
filemagic;https://github.com/aliles/filemagic
