package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
slumber;360572;http://github.com/samgiles/slumber;588;26/04/2017;2;207;29;40;40;393;26;410;
edx-completion;359466;https://github.com/edx/completion;3;18/08/2020;6;21;;;;;37;65;1
jprops;359455;https://github.com/mgood/jprops;29;22/04/2017;0;543;1;10;;;2;;
event-tracking;359142;https://github.com/edx/event-tracking;43;09/07/2020;1;168;0;0;;;20;68;2
nbval;358787;https://github.com/computationalmodelling/nbval;306;30/07/2020;6;122;29;56;56;61;19;;
avro-gen;358630;https://github.com/rbystrit/avro_gen;14;17/10/2019;0;185;3;1;1;1;3;;
daemonize;358563;https://github.com/thesharp/daemonize;385;12/12/2018;1;192;10;33;33;95;11;498;57
grapheme;358333;https://github.com/alvinlindstam/grapheme;55;07/03/2020;3;187;5;2;2;239;7;;
ibm-cloud-sdk-core;358085;https://github.com/IBM/python-sdk-core;7;10/08/2020;16;10;3;6;6;21;11;416;8
colcon-mixin;357988;https://github.com/colcon/colcon-mixin;1;2020-10-06;1;;2;2;2;0;3;;
daiquiri;357950;https://github.com/jd/daiquiri;297;09/03/2020;2;59;6;13;13;4;11;;
pypiserver;357894;https://github.com/pypiserver/pypiserver;1006;17/07/2020;6;63;41;132;100;65;55;73;4
esrally;357647;https://github.com/elastic/rally;1192;21/08/2020;33;31;46;537;100;44;43;;
flask-jwt;357619;https://github.com/mattupstate/flask-jwt;503;03/11/2015;1;481;40;30;29;47;9;6180;21
deluge-client;356872;https://github.com/JohnDoee/deluge-client;62;16/06/2020;2;125;1;20;20;39;7;183;8
pytube3;355984;https://github.com/hbmartin/pytube3;2;22/02/2020;0;;4;0;;;;;
django-admin-tools;355968;https://github.com/django-admin-tools/django-admin-tools;510;03/06/2020;8;111;19;47;47;72;65;860;21
django-user-tasks;355841;https://github.com/edx/django-user-tasks;12;21/08/2020;2;92;0;0;;;15;;
python-mistralclient;355214;https://github.com/openstack/python-mistralclient;50;2021-01-15;8;;;;;;78;;
pytest-qt;354919;http://github.com/pytest-dev/pytest-qt;192;15/08/2020;9;70;11;144;100;94;26;388;45
frida;354622;https://github.com/frida/frida;6114;09/09/2020;33;4;614;738;;;32;;
shortid;354503;https://github.com/corpix/shortid;36;07/10/2017;0;736;1;2;2;293;;;
percy;354323;https://github.com/percy/python-percy-client;22;07/07/2020;2;46;2;9;9;163;15;;
slots;354302;https://github.com/roycoding/slots;56;13/01/2020;0;431;8;8;8;186;5;;
lesscpy;354049;https://github.com/lesscpy/lesscpy;129;23/01/2020;4;447;30;30;30;46;20;1484;
pdpbox;354006;https://github.com/SauceCat/PDPbox;480;08/12/2018;5;580;32;17;17;117;4;208;7
kivy-garden;353990;https://github.com/kivy-garden/garden;27;13/05/2019;0;504;8;9;9;256;13;;
asgi-redis;353796;https://github.com/django/asgi_redis;354;2020-11-07;3;;23;129;0;;40;;
salt;353736;https://github.com/saltstack/salt;11231;08/09/2020;948;15;1800;20978;;;2272;;
python-logstash-async;353610;https://github.com/eht16/python-logstash-async;100;17/08/2020;2;79;3;31;31;89;16;243;4
pyrabbit;353585;https://github.com/bkjones/pyrabbit;88;24/12/2015;1;422;14;13;;;14;106;
pooch;352783;https://github.com/fatiando/pooch;74;06/08/2020;6;45;10;53;53;47;18;198;14
python-terraform;352529;https://github.com/beelit94/python-terraform;260;07/11/2019;3;94;22;36;35;26;11;;
nbdime;352522;https://github.com/jupyter/nbdime;1735;10/03/2020;32;38;44;185;100;39;22;30;9
devpi-common;351856;https://github.com/devpi/devpi;402;07/08/2020;79;7;82;545;100;84;64;112;15
ifcfg;351412;https://github.com/ftao/python-ifcfg;38;26/05/2020;2;142;6;12;12;12;12;39;7
djangorestframework-jsonapi;351328;https://github.com/django-json-api/django-rest-framework-json-api;818;22/08/2020;12;76;30;270;100;68;80;651;9
xdis;351156;https://github.com/rocky/python-xdis;82;30/08/2020;17;10;5;21;;;12;;
spyder-kernels;350985;https://github.com/spyder-ide/spyder-kernels;16;25/07/2020;42;21;12;53;53;50;20;8890;9
contexttimer;350891;https://github.com/brouberol/contexttimer;52;30/03/2019;0;523;1;3;3;0;8;;
python-vagrant;350728;https://github.com/todddeluca/python-vagrant;218;08/05/2017;1;176;10;22;22;159;17;1463;22
snowflake;350592;https://github.com/shaddi/snowflake;7;28/05/2018;0;;0;2;2;634;2;;3
area;350277;https://github.com/scisco/area;53;31/10/2018;0;1732;4;1;1;625;2;;4
betamax;350261;https://github.com/sigmavirus24/betamax;462;2020-01-13;5;;19;86;0;;27;;
maya;350174;https://github.com/kennethreitz/maya;3254;2020-05-20;7;69;14;73;0;;42;635;76
pytest-replay;349933;https://github.com/ESSS/pytest-replay;29;14/11/2019;2;102;0;0;;;2;;
instantmusic;349382;https://github.com/yask123/Instant-Music-Downloader;1318;29/11/2018;2;2118;28;42;42;38;22;119;2
scrapy-crawlera;349306;https://github.com/scrapy-plugins/scrapy-crawlera;266;01/04/2020;5;161;2;24;24;201;29;97;1
qtawesome;348806;https://github.com/spyder-ide/qtawesome;294;15/06/2020;6;64;5;48;46;156;17;13980;41
pymupdf;348697;https://github.com/pymupdf/PyMuPDF;655;21/08/2020;10;39;10;519;100;4;16;489;47
pdftotext;348589;https://github.com/jalan/pdftotext;347;14/08/2020;2;110;11;51;51;48;3;307;15
colcon-package-information;348450;https://github.com/colcon/colcon-package-information;1;2020-10-06;1;;0;1;1;106;2;;
django-config-models;347729;https://github.com/edx/django-config-models;13;02/07/2020;3;64;2;1;1;18;18;125;
python-oembed;347667;http://github.com/abarmat/python-oembed;34;05/04/2016;0;1322;5;4;4;246;4;;
glean-parser;347572;https://github.com/mozilla/glean_parser;6;19/08/2020;26;5;2;7;7;6;10;;
bok-choy;347544;http://github.com/edx/bok-choy;66;21/08/2020;5;57;5;14;14;153;43;;
django-smtp-ssl;347346;https://github.com/bancek/django-smtp-ssl;104;29/10/2019;0;;0;3;3;0;2;607;2
colcon-defaults;347053;https://github.com/colcon/colcon-defaults;1;2020-10-06;0;;1;2;2;1;2;;
pid;346920;https://github.com/trbs/pid;73;18/07/2020;2;92;1;14;;;14;;
colcon-output;346898;https://github.com/colcon/colcon-output;2;2020-10-06;1;;0;5;5;86;2;;
pytools;346496;https://github.com/inducer/pytools;42;03/08/2020;7;46;2;5;5;1;16;602;29
colcon-metadata;346326;https://github.com/colcon/colcon-metadata;2;2020-10-06;0;;0;5;5;36;3;;
strif;346031;https://github.com/jlevy/strif;38;30/06/2019;0;360;5;1;1;655;;;
textsearch;345867;https://github.com/kootenpv/textsearch;62;14/06/2019;0;;2;0;;;;76;6
colcon-package-selection;345501;https://github.com/colcon/colcon-package-selection;1;2020-10-06;1;;1;4;4;24;3;;
pytest-subtests;345161;https://github.com/pytest-dev/pytest-subtests;61;01/08/2020;3;87;10;7;7;31;2;72;8
pomegranate;345012;https://github.com/jmschrei/pomegranate;2604;2021-02-12;11;103;33;542;100;25;;;
standardjson;344873;https://github.com/audreyr/standardjson;18;2014-05-23;;;;;0;;;;
edx-celeryutils;344810;https://github.com/edx/edx-celeryutils;3;2021-02-24;;;;;;;;;
crontab;344772;https://github.com/josiahcarlson/parse-crontab;254;2020-07-22;;;;;25;71;;;
django-choices;344609;https://github.com/bigjason/django-choices;171;2019-12-08;;;;;24;122;;;
flake8-executable;344552;https://github.com/xuhdev/flake8-executable;11;2021-02-20;;;;;2;6;;;
mapbox-vector-tile;344094;https://github.com/tilezen/mapbox-vector-tile;134;2018-11-23;;;;;27;28;;;
factor-analyzer;344078;https://github.com/educationaltestingservice/factor_analyzer;120;2020-11-02;;;;;31;114;;;
purl;343453;https://github.com/codeinthehole/purl;248;2019-03-10;;;;;12;70;;;
colcon-parallel-executor;343446;https://github.com/colcon/colcon-parallel-executor;1;2020-10-06;;;;;1;25;;;
colcon-powershell;343411;https://github.com/colcon/colcon-powershell;1;2020-10-06;;;;;1;0;;;
aiostream;343278;https://github.com/vxgmichel/aiostream;304;2020-02-26;;;;;30;59;;;
