package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs
ipython;119866837;https://github.com/ipython/ipython;14719;2021-03-14;191;34;1400;5172;100;13;722;182096;2830
pexpect;129037264;https://github.com/pexpect/pexpect;1995;2020-05-16;17;130;150;256;100;56;79;123760;683
redis;117771747;https://github.com/andymccurdy/redis-py;9162;2020-11-22;11;;53;818;100;33;210;;
isodate;161418748;https://github.com/gweis/isodate;95;2018-08-02;1;;17;11;11;379;13;10834;308
httplib2;119128311;https://github.com/httplib2/httplib2;402;2021-03-03;8;;36;61;60;151;49;68796;829
matplotlib;114032811;https://github.com/matplotlib/matplotlib;13323;2021-03-22;315;36;1400;6073;100;4;1065;328456;13337
ptyprocess;126147445;https://github.com/pexpect/ptyprocess;127;2021-03-17;1;236;12;16;16;104;12;;
mock;92831779;https://github.com/testing-cabal/mock;474;2020-12-10;18;;0;410;100;248;66;;
mccabe;101915832;https://github.com/pycqa/mccabe;377;2020-10-03;1;;4;33;33;44;16;180991;421
google-api-python-client;158951960;https://github.com/googleapis/google-api-python-client;4562;2021-03-20;13;46;20;723;100;12;145;53817;999
boto;94169267;https://github.com/boto/boto;6462;2019-03-30;56;;809;839;100;110;527;59929;1076
tornado;129205424;https://github.com/tornadoweb/tornado;19871;2021-03-20;31;;192;1446;100;17;348;150422;2056
defusedxml;128899152;https://github.com/tiran/defusedxml;209;2021-03-08;3;133;10;22;22;124;8;134305;419
tqdm;125938133;https://github.com/tqdm/tqdm;17798;2021-03-05;26;15;233;504;100;25;95;150062;6583
docker;104543525;https://github.com/docker/docker-py;5168;2021-03-10;33;25;321;1053;100;17;359;18668;1076
traitlets;114992667;https://github.com/ipython/traitlets;409;2020-10-15;18;;73;135;100;91;82;143424;470
tensorboard;94538321;https://github.com/tensorflow/tensorboard;5216;2021-03-20;95;33;501;950;100;15;185;57178;385
appdirs;131518548;https://github.com/activestate/appdirs;704;2021-01-28;1;555;25;49;48;279;29;;
pycodestyle;95214337;https://github.com/pycqa/pycodestyle;4278;2021-03-16;8;107;91;526;100;53;110;125743;803
tensorflow;108893268;https://github.com/tensorflow/tensorflow;154192;2021-03-22;1676;14;3800;26945;100;3;2934;124589;2775
webencodings;120986105;https://github.com/gsnedders/python-webencodings;23;2017-10-28;0;;3;4;4;68;6;114885;380
kiwisolver;95569673;https://github.com/nucleic/kiwi;447;2021-01-20;3;;5;61;61;108;15;114636;355
bleach;121076657;https://github.com/mozilla/bleach;2115;2021-02-22;5;;42;271;100;85;63;110977;646
uritemplate;141065793;https://github.com/python-hyper/uritemplate;188;2019-12-19;1;;9;19;19;297;13;60639;211
msrest;146992046;https://github.com/azure/msrest-for-python;29;2021-01-26;6;;13;78;78;87;22;3890;280
pickleshare;109005747;https://github.com/pickleshare/pickleshare;50;2018-09-25;0;;5;8;8;55;10;140423;241
tabulate;104536009;https://github.com/astanin/python-tabulate;745;2021-03-04;27;;23;55;54;91;58;36965;2282
psycopg2-binary;94430135;https://github.com/psycopg/psycopg2;2114;2020-12-16;29;;38;954;100;3;96;308425;2170
bcrypt;104989082;https://github.com/pyca/bcrypt;721;2021-02-18;2;;0;83;83;147;26;;
typing;76930187;https://github.com/python/typing;881;2021-03-02;6;;118;436;100;24;59;27360;1486
azure-common;104908922;https://github.com/azure/azure-sdk-for-python;1866;2021-03-22;77;1;779;3710;100;14;284;1447;107
argparse;77340778;https://github.com/thomaswaldmann/argparse;39;2015-10-22;1;;3;98;97;2;;48772;2419
absl-py;111797614;https://github.com/abseil/abseil-py;1563;2021-03-09;10;;11;67;65;44;30;55291;385
prometheus-client;126220826;https://github.com/prometheus/client_python;2088;2021-02-25;5;82;24;297;100;16;101;;
pyzmq;103093057;https://github.com/zeromq/pyzmq;2735;2021-02-18;21;60;103;727;100;90;149;112251;967
soupsieve;92815765;https://github.com/facelessuser/soupsieve;95;2021-03-19;10;22;11;80;80;22;8;108330;260
typed-ast;88928364;https://github.com/python/typed_ast;177;2021-03-07;2;;4;73;73;107;20;;
tensorflow-estimator;84784298;https://github.com/tensorflow/estimator;213;2021-03-17;23;50;;;;;98;;
paramiko;100254344;https://github.com/paramiko/paramiko;6852;2021-02-12;24;;632;583;100;30;126;38036;1438
markdown;79946080;https://github.com/python-markdown/markdown;2448;2021-02-24;11;;20;659;100;5;125;121981;1828
pynacl;101031129;https://github.com/pyca/pynacl;762;2021-02-13;6;;38;209;100;54;49;;
atomicwrites;51264111;https://github.com/untitaker/python-atomicwrites;254;2020-12-04;1;;3;27;27;119;13;64110;305
gunicorn;92637320;https://github.com/benoitc/gunicorn;7532;2021-03-08;21;46;245;1378;100;30;314;412436;997
lazy-object-proxy;73118015;https://github.com/ionelmc/python-lazy-object-proxy;173;2021-03-18;7;;10;27;27;7;12;143412;253
pyflakes;73949293;https://github.com/pycqa/pyflakes;993;2021-03-14;6;;60;331;100;23;66;81171;597
google-auth-oauthlib;105283321;https://github.com/googleapis/google-auth-library-python-oauthlib;72;2021-03-01;0;180;15;37;37;75;15;41524;360
cycler;86393754;https://github.com/matplotlib/cycler;31;2020-12-17;1;1051;7;14;14;126;16;142494;445
filelock;105729855;https://github.com/benediktschmitt/py-filelock;290;2019-05-18;1;;17;37;37;52;10;52451;369
