Package name;Final URL
allure-pytest;https://github.com/allure-framework/allure-python
gapic-google-cloud-pubsub-v1;https://github.com/googleapis/googleapis
fake-factory;https://github.com/joke2k/faker
azure-mgmt-core;https://github.com/azure/azure-sdk-for-python
zmq;https://github.com/zeromq/pyzmq
azure-mgmt-redhatopenshift;https://github.com/azure/azure-sdk-for-python
twitter-common-options;https://github.com/twitter-archive/commons
twitter-common-log;https://github.com/twitter-archive/commons
azure-keyvault-keys;https://github.com/azure/azure-sdk-for-python
flask-debugtoolbar;https://github.com/jazzband/django-debug-toolbar
path;https://github.com/jaraco/path
opencensus-ext-stackdriver;https://github.com/census-instrumentation/opencensus-python
elasticsearch6;https://github.com/elastic/elasticsearch-py
elasticsearch5;https://github.com/elastic/elasticsearch-py
twitter-common-collections;https://github.com/twitter-archive/commons
tf-nightly;https://github.com/tensorflow/tensorflow
azure-mgmt-servermanager;https://github.com/azure/azure-sdk-for-python
nose-parameterized;https://github.com/wolever/parameterized
python-geoip-geolite2;https://github.com/mitsuhiko/python-geoip
aws-cdk-cx-api;https://github.com/aws/aws-cdk
azure-mgmt-documentdb;https://github.com/azure/azure-sdk-for-python
aws-cdk-aws-iam;https://github.com/aws/aws-cdk
aws-cdk-region-info;https://github.com/aws/aws-cdk
opencv-contrib-python-headless;https://github.com/opencv/opencv-python
aws-cdk-aws-kms;https://github.com/aws/aws-cdk
carbon;https://github.com/graphite-project/graphite-web
aliyun-python-sdk-core-v3;https://github.com/aliyun/aliyun-openapi-python-sdk
aws-cdk-aws-events;https://github.com/aws/aws-cdk
aws-cdk-aws-s3;https://github.com/aws/aws-cdk
aws-cdk-aws-ssm;https://github.com/aws/aws-cdk
dbt-postgres;https://github.com/fishtown-analytics/dbt
aws-cdk-aws-cloudwatch;https://github.com/aws/aws-cdk
aws-cdk-assets;https://github.com/aws/aws-cdk
aws-cdk-aws-ec2;https://github.com/aws/aws-cdk
aws-cdk-aws-logs;https://github.com/aws/aws-cdk
dbt;https://github.com/fishtown-analytics/dbt
aws-cdk-aws-sqs;https://github.com/aws/aws-cdk
neo4j-driver;https://github.com/neo4j/neo4j-python-driver
aws-cdk-aws-lambda;https://github.com/aws/aws-cdk
aws-cdk-aws-s3-assets;https://github.com/aws/aws-cdk
dbt-redshift;https://github.com/fishtown-analytics/dbt
dbt-snowflake;https://github.com/fishtown-analytics/dbt
dbt-bigquery;https://github.com/fishtown-analytics/dbt
aws-cdk-aws-sns;https://github.com/aws/aws-cdk
allure-behave;https://github.com/allure-framework/allure-python
twitter-common-confluence;https://github.com/twitter-archive/commons
proto-google-cloud-spanner-v1;https://github.com/googleapis/googleapis
gapic-google-cloud-spanner-v1;https://github.com/googleapis/googleapis
gapic-google-cloud-spanner-admin-instance-v1;https://github.com/googleapis/googleapis
gapic-google-cloud-spanner-admin-database-v1;https://github.com/googleapis/googleapis
proto-google-cloud-spanner-admin-instance-v1;https://github.com/googleapis/googleapis
proto-google-cloud-spanner-admin-database-v1;https://github.com/googleapis/googleapis
tensorflow-cpu;https://github.com/tensorflow/tensorflow
aws-cdk-aws-cloudformation;https://github.com/aws/aws-cdk
aws-cdk-aws-route53;https://github.com/aws/aws-cdk
aws-cdk-aws-certificatemanager;https://github.com/aws/aws-cdk
aws-cdk-aws-elasticloadbalancingv2;https://github.com/aws/aws-cdk
geventhttpclient;https://github.com/gwik/geventhttpclient
boto3-type-annotations-with-docs;https://github.com/alliefitter/boto3_type_annotations
aws-cdk-aws-apigateway;https://github.com/aws/aws-cdk
twitter-common-contextutil;https://github.com/twitter-archive/commons
aws-cdk-aws-autoscaling-common;https://github.com/aws/aws-cdk
twitter-common-util;https://github.com/twitter-archive/commons
twitter-common-app;https://github.com/twitter-archive/commons
twitter-common-process;https://github.com/twitter-archive/commons
twitter-common-string;https://github.com/twitter-archive/commons
pyobjc-framework-cocoa;https://github.com/ronaldoussoren/pyobjc
aws-cdk-aws-sns-subscriptions;https://github.com/aws/aws-cdk
aws-cdk-aws-applicationautoscaling;https://github.com/aws/aws-cdk
opencensus-ext-logging;https://github.com/census-instrumentation/opencensus-python
aws-cdk-aws-elasticloadbalancing;https://github.com/aws/aws-cdk
aws-cdk-aws-cloudfront;https://github.com/aws/aws-cdk
aws-cdk-aws-secretsmanager;https://github.com/aws/aws-cdk
aws-cdk-aws-autoscaling;https://github.com/aws/aws-cdk
aws-cdk-aws-route53-targets;https://github.com/aws/aws-cdk
aws-cdk-aws-ecr;https://github.com/aws/aws-cdk
aws-cdk-aws-ecr-assets;https://github.com/aws/aws-cdk
aws-cdk-aws-ecs;https://github.com/aws/aws-cdk
ldclient-py;https://github.com/launchdarkly/python-server-sdk
aws-cdk-aws-servicediscovery;https://github.com/aws/aws-cdk
aws-cdk-aws-autoscaling-hooktargets;https://github.com/aws/aws-cdk
doc-warden;https://github.com/azure/azure-sdk-tools
aws-cdk-aws-stepfunctions;https://github.com/aws/aws-cdk
python2-pythondialog;https://github.com/erikrose/blessings
locust;https://github.com/locustio/locust
elasticsearch2;https://github.com/elastic/elasticsearch-py
azure-cli-profile;https://github.com/azure/azure-cli
devpi-client;https://github.com/devpi/devpi
ibm-watson;https://github.com/watson-developer-cloud/python-sdk
pyobjc-framework-quartz;https://github.com/ronaldoussoren/pyobjc
tf-sentencepiece;https://github.com/google/sentencepiece
aws-cdk-aws-sam;https://github.com/aws/aws-cdk
pretty-bad-protocol;https://github.com/isislovecruft/python-gnupg
azure-keyvault-certificates;https://github.com/azure/azure-sdk-for-python
aws-cdk-aws-codecommit;https://github.com/aws/aws-cdk
skimage;https://github.com/scikit-image/scikit-image
aws-cdk-aws-codebuild;https://github.com/aws/aws-cdk
localstack;https://github.com/localstack/localstack
aws-cdk-aws-codepipeline;https://github.com/aws/aws-cdk
jaxlib;https://github.com/google/jax
aws-cdk-aws-events-targets;https://github.com/aws/aws-cdk
sfx-jaeger-client;https://github.com/jaegertracing/jaeger-client-python
zxcvbn-python;https://github.com/dwolfhub/zxcvbn-python
pyobjc-framework-fsevents;https://github.com/ronaldoussoren/pyobjc
pyobjc-framework-systemconfiguration;https://github.com/ronaldoussoren/pyobjc
pyobjc-framework-cfnetwork;https://github.com/ronaldoussoren/pyobjc
pyobjc-framework-webkit;https://github.com/ronaldoussoren/pyobjc
pyobjc-framework-launchservices;https://github.com/ronaldoussoren/pyobjc
pyobjc-framework-exceptionhandling;https://github.com/ronaldoussoren/pyobjc
pykube-ng;https://github.com/kelproject/pykube
