package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
pluggy;152658669;https://github.com/pytest-dev/pluggy;459;2020-07-02;7;;28;88;88;108;31;;;https://libraries.io/pypi/pluggy;20;111;9410
pygments;151828958;;;;;;;;;;;;;https://libraries.io/pypi/Pygments;20;667;33900
psutil;145293083;https://github.com/giampaolo/psutil;6513;2020-08-15;73;;202;1155;100;21;124;51658;2630;https://libraries.io/pypi/psutil;25;850;12300
flask;143727210;https://github.com/pallets/flask;51721;2020-08-17;32;118;22;1959;100;4;613;517234;5837;https://libraries.io/pypi/Flask;27;1940;116000
pyjwt;142570202;http://github.com/jpadilla/pyjwt;3385;2020-08-21;5;115;60;200;100;62;77;;;https://libraries.io/pypi/PyJWT;24;511;9440
coverage;140848928;https://github.com/nedbat/coveragepy;1284;2020-08-19;176;9;207;733;100;20;82;106247;6469;https://libraries.io/pypi/coverage;23;268;50200
scikit-learn;137707272;https://github.com/scikit-learn/scikit-learn;41967;2020-08-21;216;32;1600;6222;100;5;1855;134291;4174;https://libraries.io/pypi/scikit-learn;23;296;18900
pyrsistent;137298200;;;;;;;;;;;;;https://libraries.io/pypi/pyrsistent;20;66;1720
itsdangerous;136985966;https://github.com/pallets/itsdangerous;2047;2020-08-17;2;;0;88;86;161;31;287192;578;https://libraries.io/pypi/itsdangerous;22;166;52100
wrapt;136541183;https://github.com/GrahamDumpleton/wrapt;1363;2020-03-12;5;;40;74;74;51;15;;;https://libraries.io/pypi/wrapt;22;235;10700
pillow;130548120;https://github.com/python-pillow/Pillow;7632;2020-08-15;107;44;207;1736;100;11;289;289195;5411;https://libraries.io/pypi/Pillow;25;1410;55700
google-cloud-storage;126393653;https://github.com/googleapis/python-storage;34;2020-08-17;59;6;29;93;93;43;55;16252;362;https://libraries.io/pypi/google-cloud-storage;22;136;1050
virtualenv;122958274;https://github.com/pypa/virtualenv;3652;2020-08-17;2;23;35;999;100;5;190;;;https://libraries.io/pypi/virtualenv;22;139;17200
ipaddress;121695339;https://github.com/phihag/ipaddress;84;2019-10-18;1;;4;33;33;13;6;21962;424;https://libraries.io/pypi/ipaddress;20;181;6430
websocket-client;120993723;https://github.com/websocket-client/websocket-client;2302;2019-12-25;7;;183;209;100;80;147;;;https://libraries.io/pypi/websocket_client;14;21;60
sqlalchemy;117810732;;;;;;;;;;;;;https://libraries.io/pypi/SQLAlchemy;25;1080;41900
entrypoints;114687312;https://github.com/takluyver/entrypoints;53;2020-03-15;;;2;20;20;19;8;;;https://libraries.io/pypi/entrypoints;18;47;7580
google-resumable-media;114603804;https://github.com/googleapis/google-resumable-media-python;18;2020-08-10;7;55;8;47;46;151;18;6789;37;https://libraries.io/pypi/google-resumable-media;16;13;447
joblib;112159636;https://github.com/joblib/joblib;2132;2020-08-04;10;;222;333;100;51;88;49452;1068;https://libraries.io/pypi/joblib;14;132;3310
lxml;110460726;https://github.com/lxml/lxml;1741;2020-08-20;49;;;;;;111;116617;5095;https://libraries.io/pypi/lxml;24;1630;33300
configparser;109089165;https://github.com/psf/black;17207;2020-08-20;26;44;309;797;100;13;189;27139;1799;https://libraries.io/pypi/configparser;21;439;5970
prompt-toolkit;106503418;https://github.com/prompt-toolkit/python-prompt-toolkit;6462;2020-08-11;30;;313;449;100;25;141;97825;584;https://libraries.io/pypi/prompt-toolkit;20;118;266
asn1crypto;105633231;https://github.com/wbond/asn1crypto;198;2020-08-13;11;;18;105;100;58;26;63068;261;https://libraries.io/pypi/asn1crypto;21;90;6750
ipython;104847183;https://github.com/ipython/ipython;14330;2020-08-20;199;34;1300;5103;100;17;690;140668;2287;https://libraries.io/pypi/ipython;26;334;32000
pexpect;104718502;;;;;;;;;;;;;https://libraries.io/pypi/pexpect;14;196;15400
redis;104133365;https://github.com/andymccurdy/redis-py;8753;2020-08-19;11;;75;744;100;33;202;;;https://libraries.io/pypi/redis;24;669;24700
isodate;103789524;http://github.com/gweis/isodate;84;2018-08-02;1;;15;11;11;379;13;7253;258;https://libraries.io/pypi/isodate;16;62;1470
httplib2;103390575;https://github.com/httplib2/httplib2;377;2020-05-20;9;;31;58;57;133;46;52509;763;https://libraries.io/pypi/httplib2;20;228;15400
matplotlib;102834900;https://github.com/matplotlib/matplotlib;12046;2020-08-21;316;36;1300;5597;100;1;986;235300;10344;https://libraries.io/pypi/matplotlib;26;852;39600
ptyprocess;101973427;https://github.com/pexpect/ptyprocess;112;2019-01-07;1;238;11;15;15;109;11;;;https://libraries.io/pypi/ptyprocess;18;44;12700
mock;101942511;https://github.com/testing-cabal/mock;465;2020-06-03;20;;0;408;100;248;64;;;https://libraries.io/pypi/mock;24;444;48400
mccabe;101545581;https://github.com/pycqa/mccabe;316;2020-08-14;1;;4;32;32;45;15;128196;336;https://libraries.io/pypi/mccabe;18;56;15500
google-api-python-client;100743438;https://github.com/GoogleCloudPlatform/google-cloud-python;3322;2020-08-10;114;3;18;3302;;;293;;;https://libraries.io/pypi/google-api-python-client;24;318;6290
tornado;100610951;;;;;;;;;;;;;https://libraries.io/pypi/tornado;25;540;24100
defusedxml;98871986;https://github.com/tiran/defusedxml;180;2020-05-04;3;149;9;19;19;136;6;82960;332;https://libraries.io/pypi/defusedxml;19;118;6270
beautifulsoup4;95149224;;;;;;;;;;;;;https://libraries.io/pypi/beautifulsoup4;18;1580;30800
tqdm;94903807;https://github.com/tqdm/tqdm;15521;2020-08-03;24;15;215;445;100;24;88;99443;4835;https://libraries.io/pypi/tqdm;24;1250;13100
docker;93785103;https://github.com/docker/docker-py;4859;2020-08-20;35;24;270;1017;100;19;350;13592;879;https://libraries.io/pypi/docker;25;391;2180
traitlets;92551186;;;;;;;;;;;;;https://libraries.io/pypi/traitlets;21;117;14000
tensorboard;92323704;https://github.com/tensorflow/tensorboard;4797;2020-08-21;97;34;474;844;100;14;169;35999;216;https://libraries.io/pypi/tensorboard;19;14;1810
appdirs;90893079;http://github.com/ActiveState/appdirs;599;2020-07-07;1;524;23;48;47;245;26;63702;1342;https://libraries.io/pypi/appdirs;24;513;12800
pycodestyle;90742886;http://github.com/PyCQA/pycodestyle;4135;2020-05-26;9;104;91;511;100;81;109;87161;650;https://libraries.io/pypi/pycodestyle;22;83;10600
tensorflow;90697505;;;;;;;;;;;;;https://libraries.io/pypi/tensorflow;13;12;11300
ipython-genutils;90136198;;;;;;;;;;;;;https://libraries.io/pypi/ipython_genutils;13;36;3280
webencodings;89958750;https://github.com/SimonSapin/python-webencodings;22;2017-10-28;;;2;4;;;6;;;https://libraries.io/pypi/webencodings;17;63;7460
kiwisolver;89686689;https://github.com/nucleic/kiwi;405;2020-07-29;3;;5;55;55;108;12;75432;221;https://libraries.io/pypi/kiwisolver;20;12;3750
bleach;89058065;https://github.com/mozilla/bleach;1961;2020-07-24;5;;40;252;100;66;61;80865;521;https://libraries.io/pypi/bleach;21;138;11700
uritemplate;88854222;https://github.com/python-hyper/uritemplate;179;2019-12-19;1;;8;19;19;297;13;35787;180;https://libraries.io/pypi/uritemplate;20;43;3590
msrest;88665420;https://github.com/Azure/msrest-for-python;28;2020-07-24;7;;9;73;73;90;19;2173;212;https://libraries.io/pypi/msrest;17;147;392
pbr;88128695;;;;;;;;;;;;;https://libraries.io/pypi/pbr;17;451;13000
pickleshare;87323659;https://github.com/pickleshare/pickleshare;43;2018-09-25;1;;5;8;8;55;10;103909;199;https://libraries.io/pypi/pickleshare;16;28;13500
tabulate;87172923;https://github.com/astanin/python-tabulate;500;2020-04-07;39;;25;28;28;15;45;24246;1762;https://libraries.io/pypi/tabulate;22;642;4050
psycopg2-binary;86543606;https://github.com/psycopg/psycopg2;1881;2020-08-18;31;;38;866;100;3;87;236860;1937;https://libraries.io/pypi/psycopg2-binary;13;6;6030
bcrypt;84371582;;;;;;;;;;;;;https://libraries.io/pypi/bcrypt;22;134;7430
typing;83587242;https://github.com/python/typing;765;2020-07-13;7;;107;412;100;51;52;;;https://libraries.io/pypi/typing;23;562;4220
azure-common;83321574;https://github.com/Azure/azure-sdk-for-python;1376;2020-08-20;67;2;577;2728;100;8;217;1294;100;https://libraries.io/pypi/azure-common;19;152;424
argparse;83057852;;;;;;;;;;;;;https://libraries.io/pypi/argparse;19;354;26000
absl-py;82416326;https://github.com/abseil/abseil-py;1425;2020-08-19;11;;7;61;59;48;27;36254;261;https://libraries.io/pypi/absl-py;20;53;2040
prometheus-client;81722046;https://github.com/prometheus/client_python;1753;2020-07-07;5;77;19;263;100;25;91;;;https://libraries.io/pypi/prometheus-client;14;22;0
pyzmq;81349989;https://github.com/zeromq/libzmq;6338;2020-08-21;60;403;163;1277;100;16;441;;;https://libraries.io/pypi/pyzmq;21;249;12500
soupsieve;80674185;https://github.com/facelessuser/soupsieve;73;2020-08-11;12;17;10;70;70;21;8;61499;160;https://libraries.io/pypi/soupsieve;19;58;2120
typed-ast;80288358;https://github.com/python/typed_ast;160;2020-07-15;2;;7;64;64;85;16;;;https://libraries.io/pypi/typed-ast;20;54;5180
tensorflow-estimator;79796583;;;;;;;;;;;;;https://libraries.io/pypi/tensorflow-estimator;10;0;678
azure-storage-blob;79776493;;;;;;;;;;;;;https://libraries.io/pypi/azure-storage-blob;17;58;190
paramiko;79766805;;;;;;;;;;;;;https://libraries.io/pypi/paramiko;22;305;11400
markdown;79296520;;;;;;;;;;;;;https://libraries.io/pypi/Markdown;17;475;20700
pynacl;78745430;https://github.com/jedisct1/libsodium;8553;2020-08-16;42;;1;701;100;1;100;55;19;https://libraries.io/pypi/PyNaCl;20;93;1970
atomicwrites;78057531;https://github.com/untitaker/python-atomicwrites;233;2020-05-04;1;;4;23;23;73;11;;;https://libraries.io/pypi/atomicwrites;21;86;5760
gunicorn;77578114;;;;;;;;;;;;;https://libraries.io/pypi/gunicorn;22;193;61000
lazy-object-proxy;75163356;https://github.com/ionelmc/python-lazy-object-proxy;150;2020-07-23;8;;7;25;25;7;12;101670;204;https://libraries.io/pypi/lazy-object-proxy;21;54;8940
pyflakes;73852274;https://github.com/PyCQA/pyflakes;912;2020-05-12;6;;66;298;100;28;60;58866;507;https://libraries.io/pypi/pyflakes;21;61;13200
google-auth-oauthlib;73807229;https://github.com/GoogleCloudPlatform/google-auth-library-python-oauthlib;55;2019-11-04;;204;15;29;;;14;21160;213;https://libraries.io/pypi/google-auth-oauthlib;18;60;597
cycler;73607889;http://github.com/matplotlib/cycler;25;2020-02-18;2;943;8;13;13;17;13;;;https://libraries.io/pypi/Cycler;16;18;10500
filelock;73262152;https://github.com/benediktschmitt/py-filelock;240;2019-05-18;1;;15;35;35;46;10;28044;241;https://libraries.io/pypi/filelock;19;76;1760
h5py;71626155;;;;;;;;;;;;;https://libraries.io/pypi/h5py;14;171;11500
termcolor;71431702;;;;;;;;;;;;;https://libraries.io/pypi/termcolor;14;87;3810
google-auth-httplib2;71263460;https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2;7;2020-07-25;;1224;1;2;2;2;7;;;https://libraries.io/pypi/google-auth-httplib2;18;107;892
google-cloud-bigquery;70132070;https://github.com/googleapis/python-bigquery;64;2020-08-18;120;5;37;81;81;41;78;4689;173;https://libraries.io/pypi/google-cloud-bigquery;22;69;625
flake8;70070372;;;;;;;;;;;;;https://libraries.io/pypi/flake8;21;275;35600
gitpython;69868389;https://github.com/gitpython-developers/GitPython;2815;2020-07-17;18;53;106;572;100;31;177;19873;1475;https://libraries.io/pypi/GitPython;23;563;5450
dill;69732966;;;;;;;;;;;;;https://libraries.io/pypi/dill;13;162;2480
pathlib2;69304239;https://github.com/mcmtroffaes/pathlib2;58;2020-01-07;5;;0;29;29;76;11;;;https://libraries.io/pypi/pathlib2;19;152;3910
toml;68461429;https://github.com/uiri/toml;629;2020-07-02;3;;53;149;100;56;44;44609;1155;https://libraries.io/pypi/toml;23;421;3700
multidict;68455264;https://github.com/aio-libs/multidict;197;2020-08-19;15;14;10;107;100;86;34;;;https://libraries.io/pypi/multidict;19;62;2670
jupyter-core;67551328;;;;;;;;;;;;;https://libraries.io/pypi/jupyter-core;13;23;1980
contextlib2;66777282;;;;;;;;;;;;;https://libraries.io/pypi/contextlib2;12;81;2480
nbformat;66736613;;;;;;;;;;;;;https://libraries.io/pypi/nbformat;16;109;8020
isort;64901172;https://github.com/timothycrosley/isort;3209;2020-08-16;35;21;23;727;100;2;182;112071;1469;https://libraries.io/pypi/isort;23;73;12100
funcsigs;64729937;;;;;;;;;;;;;https://libraries.io/pypi/funcsigs;14;40;4360
sqlparse;63961328;https://github.com/andialbrecht/sqlparse;2139;2020-03-28;11;;153;247;99;86;70;158047;404;https://libraries.io/pypi/sqlparse;21;119;12300
pymongo;63812159;http://github.com/mongodb/mongo-python-driver;3086;2020-08-14;32;33;;;;;110;66881;1716;https://libraries.io/pypi/pymongo;23;509;17900
ipykernel;63696049;;;;;;;;;;;;;https://libraries.io/pypi/ipykernel;15;92;8790
mistune;63194284;https://github.com/lepture/mistune;1829;2020-06-12;4;103;14;176;100;118;27;71595;283;https://libraries.io/pypi/mistune;20;75;8880
docopt;62987357;https://github.com/halst/schema;2131;2020-08-19;4;132;52;59;;;55;;;https://libraries.io/pypi/docopt;15;711;10600
jupyter-client;62953205;;;;;;;;;;;;;https://libraries.io/pypi/jupyter-client;20;45;1800
awscli-cwlogs;62396116;;;;;;;;;;;;;https://libraries.io/pypi/awscli-cwlogs;8;0;10
regex;62278778;;;;;;;;;;;;;https://libraries.io/pypi/regex;16;218;2600
nbconvert;60979669;https://github.com/jupyter/nbconvert;966;2020-08-20;56;81;275;462;100;35;207;68884;401;https://libraries.io/pypi/nbconvert;21;114;7690
requests-toolbelt;60822522;https://github.com/kennethreitz/requests;43317;2020-08-18;52;;241;2969;;;590;614993;32932;https://libraries.io/pypi/requests-toolbelt;11;49;2390
notebook;60149050;;;;;;;;;;;;;https://libraries.io/pypi/notebook;15;137;8040
testpath;60134880;https://github.com/jupyter/testpath;17;2019-11-04;;;1;9;9;48;8;;;https://libraries.io/pypi/testpath;15;5;4720
pandocfilters;59098565;http://github.com/jgm/pandocfilters;348;2020-02-13;1;;7;26;26;82;28;60968;121;https://libraries.io/pypi/pandocfilters;17;20;5170
pyarrow;58493301;;;;;;;;;;;;;https://libraries.io/pypi/pyarrow;14;58;493
terminado;58465378;https://github.com/jupyter/terminado;254;2019-11-12;3;126;16;23;23;103;13;;;https://libraries.io/pypi/terminado;16;23;6810
send2trash;58439022;https://github.com/hsoft/send2trash;156;2020-06-19;1;;17;13;;;8;49637;128;https://libraries.io/pypi/Send2Trash;14;41;2520
oauth2client;57665382;;;;;;;;;;;;;https://libraries.io/pypi/oauth2client;20;126;4510
babel;57571909;;;;;;;;;;;;;https://libraries.io/pypi/Babel;14;303;18000
pytest-cov;57200823;https://github.com/pytest-dev/pytest-cov;844;2020-08-14;10;;80;171;100;63;51;55710;6952;https://libraries.io/pypi/pytest-cov;21;191;21700
azure-storage-common;56907207;https://github.com/Azure/azure-storage-python;293;2020-07-28;9;31;54;300;100;33;37;1685;28;https://libraries.io/pypi/azure-storage-common;14;13;86
retrying;56557957;https://github.com/rholder/retrying;1569;2016-06-07;1;;29;12;12;96;12;;;https://libraries.io/pypi/retrying;20;87;1330
jedi;56176770;https://github.com/davidhalter/jedi;4527;2020-08-05;79;;5;1128;100;6;118;85968;226;https://libraries.io/pypi/jedi;20;42;7950
widgetsnbextension;56106057;;;;;;;;;;;;;https://libraries.io/pypi/widgetsnbextension;13;5;4770
