package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;vulns;license
flask-compress;3670594;https://github.com/colour-science/flask-compress;50;2021-02-17;5;;1;9;9;27;;;;0;MIT License
frozendict;3667506;https://github.com/slezica/python-frozendict;97;2016-10-06;0;;11;3;3;427;7;902;131;0;MIT License
tld;3653906;https://github.com/barseghyanartur/tld;115;2021-01-11;3;58;5;53;53;141;13;;;0;License not found
schematics;3649630;https://github.com/schematics/schematics;2400;2018-12-18;11;340;95;227;100;109;80;799;109;0;License not permissive (text)
cassandra-driver;3641573;https://github.com/datastax/python-driver;1224;2021-03-18;64;;;;;;126;2436;125;0;Apache-2.0 License
langdetect;3630301;https://github.com/mimino666/langdetect;1023;2020-03-05;0;;31;23;23;101;7;3108;141;0;Apache License (text)
funcy;3629693;https://github.com/suor/funcy;2508;2021-03-22;9;;3;58;57;45;21;2535;162;0;BSD-3-Clause License
google-cloud-runtimeconfig;3629462;https://github.com/googleapis/python-runtimeconfig;4;2021-02-08;9;26;1;4;4;236;17;;;0;Apache-2.0 License
paste;3629021;https://github.com/cdent/paste;35;2020-10-12;61;;4;15;15;2;40;3670;294;4;License not found
django-celery-beat;3625834;https://github.com/celery/django-celery-beat;887;2021-03-20;4;141;62;188;100;167;72;;;0;License not permissive (text)
credstash;3624804;https://github.com/fugue/credstash;1936;2020-04-11;6;72;36;101;100;102;69;133;16;0;Apache-2.0 License
argon2-cffi;3623816;https://github.com/hynek/argon2-cffi;264;2021-03-16;4;;5;42;42;50;14;;;0;MIT License
pdfminer-six;3617948;https://github.com/pdfminer/pdfminer.six;2660;2021-03-11;;149;98;294;100;26;19;;;0;MIT License
djangorestframework-jwt;3609332;https://github.com/jpadilla/django-rest-framework-jwt;3065;2019-08-13;4;104;117;187;100;80;53;16295;76;0;MIT License
databricks-api;3601891;https://github.com/crflynn/databricks-api;22;2020-12-18;0;230;0;4;4;76;3;;;0;MIT License
clickhouse-driver;3582905;https://github.com/mymarilyn/clickhouse-driver;564;2021-03-18;7;;20;133;100;44;26;222;29;1;MIT License (text)
analytics-python;3577831;https://github.com/segmentio/analytics-python;179;2020-12-14;2;;13;58;58;212;37;620;35;0;License not found
peewee;3569803;https://github.com/coleifer/peewee;8239;2021-03-20;34;22;1;1965;100;0;127;11913;464;1;MIT License
pyathena;3557733;https://github.com/laughingman7743/pyathena;293;2021-03-16;11;28;9;94;94;32;10;;;0;MIT License
starlette;3553347;https://github.com/encode/starlette;5311;2021-03-12;23;9;111;401;100;24;140;11942;243;1;BSD-3-Clause License
serpent;3552561;https://github.com/irmen/serpent;34;2021-01-05;4;72;0;31;31;18;5;;;0;MIT License
ddt;3552152;https://github.com/datadriventests/ddt;381;2021-03-12;1;133;13;30;30;168;28;3201;162;0;License not permissive (text)
social-auth-core;3549397;https://github.com/python-social-auth/social-core;620;2021-03-16;53;61;8;306;100;88;387;10293;55;0;License not permissive (text)
odfpy;3541987;https://github.com/eea/odfpy;217;2021-01-04;2;;51;19;17;61;24;8119;40;0;License not permissive (text)
flask-marshmallow;3527294;https://github.com/marshmallow-code/flask-marshmallow;666;2021-03-22;3;;20;77;77;125;15;11637;67;0;MIT License
django-rest-swagger;3496571;https://github.com/marcgibbons/django-rest-swagger;2542;2019-06-04;8;59;130;366;100;42;78;;;0;BSD-2-Clause License
pyro4;3483097;https://github.com/irmen/pyro4;640;2020-05-27;15;37;0;187;100;27;18;710;59;1;MIT License
shellescape;3473433;https://github.com/chrissimpkins/shellescape;8;2020-01-25;0;714;0;3;3;0;;;;0;License not found
pytest-sugar;3472572;https://github.com/teemu/pytest-sugar;692;2020-10-24;3;;24;68;68;293;35;6536;423;0;License not permissive (text)
spark-sklearn;3471722;https://github.com/databricks/spark-sklearn;1055;2019-12-03;4;290;14;35;35;391;14;;;0;Apache-2.0 License
imageio-ffmpeg;3469119;https://github.com/imageio/imageio-ffmpeg;81;2021-01-04;2;112;10;17;17;70;11;;;0;BSD-2-Clause License
curlify;3466133;https://github.com/ofw/curlify;274;2019-07-21;0;;1;6;6;8;4;;;0;MIT License
aioredis;3463551;https://github.com/aio-libs/aioredis;1674;2021-03-19;16;85;9;292;0;;86;11276;293;0;MIT License
dictdiffer;3459547;https://github.com/inveniosoftware/dictdiffer;626;2021-02-15;1;219;15;40;40;63;20;4133;79;0;MIT License (text)
openapi-spec-validator;3445242;https://github.com/p1c2u/openapi-spec-validator;161;2021-02-24;3;72;27;36;35;64;14;;;0;Apache-2.0 License
google-cloud-container;3433092;https://github.com/googleapis/python-container;9;2021-03-08;7;31;2;19;19;49;18;503;16;0;Apache-2.0 License
enum-compat;3428552;https://github.com/jstasiak/enum-compat;4;2019-10-14;0;;1;2;2;0;2;;;0;License not found
