Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Final URL position;Real URL;Confidence;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;Real URL position
jinja2;https://github.com/pallets/jinja;https://github.com/pallets/jinja;;;https://github.com/pallets/jinja;https://github.com/pallets/jinja;;;1/6;Substring;11/1452;False;100.0%;;TP(?);https://github.com/pallets/jinja;3;;0;;0;Equal;;;;;;;;https://github.com/pallets/jinja;48%;1/6;Substring;11/1452;False;100.0%;;TP(?)
simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;https://github.com/simplejson/simplejson;0/10;Equal;10/1414;False;59.8%;C (37.6%) - Batchfile (1.2%) - Other (1.4%);TP(?);https://github.com/simplejson/simplejson;7;;0;;0;Equal;;;;;;;;https://github.com/simplejson/simplejson;100%;0/10;Equal;10/1414;False;59.8%;C (37.6%) - Batchfile (1.2%) - Other (1.4%);TP(?)
cffi;;;https://github.com/python-cffi/release-doc;;;;;;;;;;;;;https://github.com/python-cffi/release-doc;1;;0;;0;Different;11/11;Different;155/200;False;0%;Makefile (100.0%);FP;https://github.com/python-cffi/release-doc;20%;11/11;Different;155/200;False;0%;Makefile (100.0%);FP
cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;https://github.com/pyca/cryptography;;https://github.com/pyca/cryptography;0/12;Equal;20/1240;True;98.6%;Other (1.4%);TP;https://github.com/pyca/cryptography;6;;0;;0;Equal;;;;;;;;https://github.com/pyca/cryptography;91%;0/12;Equal;20/1240;True;98.6%;Other (1.4%);TP
attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/python-attrs/attrs;https://github.com/sponsors/hynek;https://github.com/hynek/characteristic;https://github.com/python-attrs/attrs;0/5;Equal;58/1448;False;100.0%;;TP(?);https://github.com/python-attrs/attrs;5;https://github.com/sponsors/hynek;1;https://github.com/hynek/characteristic;1;Equal;;;;;;;;https://github.com/python-attrs/attrs;72%;0/5;Equal;58/1448;False;100.0%;;TP(?)
click;https://github.com/pallets/click;https://github.com/pallets/click;;https://github.com/pallets/click;https://github.com/pallets/click;https://github.com/pallets/click;;;0/5;Equal;17/1448;False;100.0%;;TP(?);https://github.com/pallets/click;4;;0;;0;Equal;;;;;;;;https://github.com/pallets/click;54%;0/5;Equal;17/1448;False;100.0%;;TP(?)
importlib-metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;;;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;https://github.com/python/importlib_metadata;1/18;Different;0/852;True;100.0%;;TP;https://github.com/python/importlib_metadata;5;;0;;0;Equal;;;;;;;;https://github.com/python/importlib_metadata;74%;1/18;Different;0/852;True;100.0%;;TP
pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;https://github.com/etingof/pyasn1-modules;;;0/14;Equal;390/508;True;100.0%;;TP;https://github.com/etingof/pyasn1-modules;5;;0;;0;Equal;;;;;;;;https://github.com/etingof/pyasn1-modules;74%;0/14;Equal;390/508;True;100.0%;;TP
future;;;https://github.com/pythoncharmers/python-future;;;;;;;;;;;;;https://github.com/pythoncharmers/python-future;1;;0;;0;Different;7/13;Substring;1035/1469;False;100.0%;;;https://github.com/pythoncharmers/python-future;20%;7/13;Substring;1035/1469;False;100.0%;;
zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;https://github.com/jaraco/zipp;;https://github.com/jaraco/zipp;0/4;Equal;0/74;True;100.0%;;TP;https://github.com/jaraco/zipp;6;;0;;0;Equal;;;;;;;;https://github.com/jaraco/zipp;91%;0/4;Equal;0/74;True;100.0%;;TP
