Package name;Badge URL;Homepage URL;Metadata URL;Readthedocs URL;Statistics URL;OSSGadget URL;Mode URL;Final URL;Real URL;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Real URL Score
xlwt;https://github.com/python-excel/xlwt;https://github.com/python-excel/xlwt;;;;;https://github.com/python-excel/xlwt;https://github.com/python-excel/xlwt;https://github.com/python-excel/xlwt;1;1;1;1;4
pygobject;;;;https://github.com/readthedocs/sphinx_rtd_theme;;;https://github.com/readthedocs/sphinx_rtd_theme;https://github.com/readthedocs/sphinx_rtd_theme;https://github.com/gnome/pygobject ;1;1;0;1;3
expiringdict;https://github.com/mailgun/expiringdict;;;;;;https://github.com/mailgun/expiringdict;https://github.com/mailgun/expiringdict;https://github.com/mailgun/expiringdict;1;1;0;1;3
tensorboard-plugin-wit;;;;;;https://github.com/pair-code/what-if-tool;;https://github.com/pair-code/what-if-tool;https://github.com/pair-code/what-if-tool;-1;-1;0;1;-1
heapdict;;https://github.com/danielstutzbach/heapdict;;;;;https://github.com/danielstutzbach/heapdict;https://github.com/danielstutzbach/heapdict;https://github.com/danielstutzbach/heapdict;1;1;0;1;3
tensorflow-gpu;;;;;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;https://github.com/tensorflow/tensorflow;1;-1;-1;1;0
zict;https://github.com/dask/zict;;;;;;https://github.com/dask/zict;https://github.com/dask/zict;https://github.com/dask/zict;1;1;0;1;3
hyperopt;;;;;;;;;https://github.com/hyperopt/hyperopt;1;-1;1;1;2
geopandas;;https://github.com/geopandas/geopandas;;;;;https://github.com/geopandas/geopandas;https://github.com/geopandas/geopandas;https://github.com/geopandas/geopandas;1;-1;0;1;1
webtest;;https://github.com/pylons/webtest;;;;;https://github.com/pylons/webtest;https://github.com/pylons/webtest;https://github.com/pylons/webtest;1;1;0;1;3
proto-google-cloud-datastore-v1;;;https://github.com/googleapis/googleapis;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;-1;-1;0;-1;-3
anyjson;;;;;;https://github.com/ask/carrot;;https://github.com/ask/carrot;;0;0;0;0;0
msal-extensions;;;;https://github.com/azuread/microsoft-authentication-library-for-python;;https://github.com/azuread/microsoft-authentication-extensions-for-python;https://github.com/azuread/microsoft-authentication-library-for-python;https://github.com/azuread/microsoft-authentication-library-for-python;https://github.com/azuread/microsoft-authentication-extensions-for-python;-1;1;0;1;1
googledatastore;;;https://github.com/googlecloudplatform/google-cloud-datastore;;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;https://github.com/googlecloudplatform/google-cloud-datastore;-1;-1;0;1;-1
rospkg;;https://github.com/ros-infrastructure/rospkg;;;;;https://github.com/ros-infrastructure/rospkg;https://github.com/ros-infrastructure/rospkg;https://github.com/ros-infrastructure/rospkg;1;-1;0;1;1
datashape;https://github.com/blaze/datashape;https://github.com/blaze/datashape;;;;;https://github.com/blaze/datashape;https://github.com/blaze/datashape;https://github.com/blaze/datashape;1;1;1;1;4
statistics;;;;;;https://github.com/python/cpython;;https://github.com/python/cpython;https://github.com/digitalemagine/py-statistics;1;1;0;1;3
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;;;;;https://github.com/scikit-optimize/scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;1;1;1;1;4
jupyterlab;https://github.com/jupyterlab/jupyterlab;;;https://github.com/jupyterlab/jupyterlab;;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;https://github.com/jupyterlab/jupyterlab;1;-1;1;1;2
theano;;;;;;;;;https://github.com/theano/theano;1;-1;0;1;1
cvxopt;;;;;;;;;https://github.com/cvxopt/cvxopt;1;-1;1;1;2
milksnake;;;;;;https://github.com/getsentry/milksnake;;https://github.com/getsentry/milksnake;https://github.com/getsentry/milksnake;1;-1;1;1;2
dotnetcore2;;;https://github.com/dotnet/core;;https://github.com/dotnet/core;https://github.com/dotnet/core;https://github.com/dotnet/core;https://github.com/dotnet/core;https://github.com/dotnet/core;1;-1;0;-1;-1
objectpath;https://github.com/adriank/objectpath;;;;;https://github.com/adriank/objectpath;https://github.com/adriank/objectpath;https://github.com/adriank/objectpath;https://github.com/adriank/objectpath;1;1;1;1;4
clickclick;https://github.com/hjacobs/python-clickclick;;;;;;https://github.com/hjacobs/python-clickclick;https://github.com/hjacobs/python-clickclick;;0;0;0;0;0
