Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position;Final URL;Occ. final URL;Second URL;Occ. second URL;Third URL;Occ. third URL;URLs similarity
django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;https://github.com/crccheck/django-object-actions;;https://github.com/crccheck/django-object-actions;0/21;Equal;2/1465;False;88.4%;Makefile (6.9%) - HTML (3.2%) - Dockerfile (1.5%);TP(?);https://github.com/crccheck/django-object-actions;6;;0;;0;Equal
grpcio-status;;;;;;;;;;;;;;;;;0;;0;;0;Equal
geohash2;https://github.com/dbarthe/geohash;https://github.com/dbarthe/geohash;;;;https://github.com/dbarthe/geohash;;;1/8;Substring;92/110;False;100.0%;;;https://github.com/dbarthe/geohash;2;;0;;0;Equal
oslo-db;;;;;;;;;;;;;;;;;0;;0;;0;Equal
coverage-badge;https://github.com/dbrgn/coverage-badge;https://github.com/dbrgn/coverage-badge;https://github.com/dbrgn/coverage-badge;https://github.com/dbrgn/coverage-badge;https://github.com/dbrgn/coverage-badge;https://github.com/dbrgn/coverage-badge;;https://github.com/dbrgn/coverage-badge;0/14;Equal;25/1129;True;100.0%;;TP;https://github.com/dbrgn/coverage-badge;6;;0;;0;Equal
glom;https://github.com/mahmoud/glom;https://github.com/mahmoud/glom;https://github.com/mahmoud/glom;https://github.com/mahmoud/glom;https://github.com/mahmoud/glom;https://github.com/mahmoud/glom;https://github.com/mahmoud/glom;;0/4;Equal;0/1463;True;100.0%;;TP;https://github.com/mahmoud/glom;6;;0;;0;Equal
readchar;https://github.com/magmax/python-readchar;https://github.com/magmax/python-readchar;https://github.com/magmax/python-readchar;https://github.com/magmax/python-readchar;https://github.com/magmax/python-readchar;https://github.com/magmax/python-readchar;;https://github.com/magmax/python-readchar;7/15;Substring;27/1429;True;98.0%;Makefile (2.0%);TP;https://github.com/magmax/python-readchar;6;;0;;0;Equal
hdbscan;https://github.com/scikit-learn-contrib/hdbscan;https://github.com/scikit-learn-contrib/hdbscan;https://github.com/scikit-learn-contrib/hdbscan;;https://github.com/scikit-learn-contrib/hdbscan;https://github.com/scikit-learn-contrib/hdbscan;https://github.com/scikit-learn-contrib/hdbscan;https://github.com/scikit-learn-contrib/hdbscan;0/7;Equal;12/1462;True;5.4%;Jupyter (Notebook%);TP;https://github.com/scikit-learn-contrib/hdbscan;6;;0;;0;Equal
django-compat;https://github.com/arteria/django-compat;https://github.com/arteria/django-compat;;https://github.com/arteria/django-compat;https://github.com/arteria/django-compat;https://github.com/arteria/django-compat;;;0/13;Equal;1217/1499;True;100.0%;;TP;https://github.com/arteria/django-compat;4;;0;;0;Equal
umap-learn;https://github.com/lmcinnes/umap;https://github.com/lmcinnes/umap;;;https://github.com/lmcinnes/umap;https://github.com/lmcinnes/umap;https://github.com/lmcinnes/umap;https://github.com/lmcinnes/umap;6/10;Substring;8/1468;True;100.0%;;TP;https://github.com/lmcinnes/umap;5;;0;;0;Equal
django-sekizai;https://github.com/django-cms/django-sekizai;https://github.com/django-cms/django-sekizai;;;https://github.com/django-cms/django-sekizai;https://github.com/django-cms/django-sekizai;https://github.com/django-cms/django-sekizai;https://github.com/django-cms/django-sekizai;0/14;Equal;19/1434;True;87.5%;HTML (12.5%);TP;https://github.com/django-cms/django-sekizai;5;;0;;0;Equal
pytorch-pretrained-bert;https://github.com/huggingface/transformers;https://github.com/huggingface/transformers;;;https://github.com/google-research/bert;https://github.com/huggingface/transformers;;;18/23;Different;1153/1485;False;93.9%;Jupyter (Notebook%) - Other (0.3%);;https://github.com/huggingface/transformers;2;https://github.com/google-research/bert;1;;0;Equal
path;https://github.com/jaraco/path;https://github.com/jaraco/path;;;https://github.com/jaraco/path;https://github.com/jaraco/path;https://github.com/mahanmarwat/path;https://github.com/jaraco/path;0/4;Equal;2/1444;True;99.8%;Dockerfile (0.2%);TP;https://github.com/jaraco/path;4;https://github.com/mahanmarwat/path;1;;0;Equal
