Package name;Right URL;Useless;Old URL
descartes;https://github.com/descartes/descartes;True;
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize;False;
jupyterlab;https://github.com/jupyterlab/jupyterlab;False;
theano;https://github.com/theano/theano;False;
azureml-model-management-sdk;https://github.com/Azure/azure-ml-api-sdk-python;True;
keystoneauth1;https://github.com/keystoneauth1/keystoneauth1;True;
cvxopt;https://github.com/cvxopt/cvxopt;False;
milksnake;https://github.com/getsentry/milksnake;False;
objectpath;https://github.com/adriank/objectpath;False;
tables;https://github.com/tables/tables;True;
mongoengine;https://github.com/MongoEngine/mongoengine;False;
clickclick;https://github.com/zalando/python-clickclick;False;
cssutils;https://github.com/cssutils/cssutils;True;
instana;https://github.com/instana/python-sensor;False;
databricks-pypi1;https://github.com/databricks-pypi1/databricks-pypi1;True;
os-service-types;https://github.com/os-service-types/os-service-types;True;
openstacksdk;https://github.com/openstacksdk/openstacksdk;True;
azureml-dataprep;https://github.com/azureml-dataprep/azureml-dataprep;True;
atlassian-jwt-auth;https://github.com/atlassian-jwt-auth/atlassian-jwt-auth;True;
azureml-dataprep-native;https://github.com/azureml-dataprep-native/azureml-dataprep-native;True;
oauth;https://github.com/oauth/oauth;True;
python-keystoneclient;https://github.com/python-keystoneclient/python-keystoneclient;True;
jupyterlab-server;https://github.com/jupyterlab/jupyterlab_server;False;
ezfnsetup;https://github.com/ezfnsetup/ezfnsetup;True;
mleap;https://github.com/combust/mleap;False;https://github.com/combust/mleap-demo
pyqt5;https://github.com/pyqt5/pyqt5;True;
initools;https://github.com/initools/initools;True;
spotinst-agent;https://github.com/spotinst/spotinst-spectrum-agent;True;
watson-machine-learning-client;https://github.com/watson-machine-learning-client/watson-machine-learning-client;True;
nvidia-ml-py;https://github.com/nvidia-ml-py/nvidia-ml-py;True;
google-cloud-dataflow;https://github.com/google-cloud-dataflow/google-cloud-dataflow;True;
mozversion;https://github.com/mozversion/mozversion;True;
python-geohash;https://github.com/python-geohash/python-geohash;True;
toposort;https://github.com/toposort/toposort;True;
pyro4;https://github.com/irmen/Pyro4;False;
flake8-docstrings;https://github.com/pycqa/pydocstyle;False;
azureml-telemetry;https://github.com/azureml-telemetry/azureml-telemetry;True;
python-novaclient;https://github.com/python-novaclient/python-novaclient;True;
autobahn;https://github.com/crossbario/autobahn-python;False;
requestsexceptions;https://github.com/requestsexceptions/requestsexceptions;True;
mpi4py;https://github.com/mpi4py/mpi4py;False;
azureml-pipeline-core;https://github.com/azureml-pipeline-core/azureml-pipeline-core;True;
pattern;https://github.com/pattern/pattern;True;
mysql-connector-python-rf;https://github.com/mysql-connector-python-rf/mysql-connector-python-rf;True;
nvidia-ml-py3;https://github.com/nvidia-ml-py3/nvidia-ml-py3;True;
oslo-log;https://github.com/oslo-log/oslo-log;True;
azureml-train-core;https://github.com/azureml-train-core/azureml-train-core;True;
azureml-train-restclients-hyperdrive;https://github.com/azureml-train-restclients-hyperdrive/azureml-train-restclients-hyperdrive;True;
osc-lib;https://github.com/osc-lib/osc-lib;True;
ibm-db-sa;https://github.com/ibmdb/python-ibmdbsa;False;
wget;https://github.com/wget/wget;False;
pyqt5-sip;https://github.com/pyqt5-sip/pyqt5-sip;True;
azureml-pipeline-steps;https://github.com/azureml-pipeline-steps/azureml-pipeline-steps;True;
python-subunit;https://github.com/python-subunit/python-subunit;True;
azureml-pipeline;https://github.com/azureml-pipeline/azureml-pipeline;True;
httpretty;https://github.com/gabrielfalcao/httpretty;False;
oslo-context;https://github.com/oslo-context/oslo-context;True;
beautifulsoup;https://github.com/beautifulsoup/beautifulsoup;True;
marionette-driver;https://github.com/marionette-driver/marionette-driver;True;
azureml-train;https://github.com/azureml-train/azureml-train;True;
azureml-sdk;https://github.com/Azure/MachineLearningNotebooks;False;
firebase-admin;https://github.com/firebase-admin/firebase-admin;True;
pdfkit;https://github.com/JazzCore/python-pdfkit;False;
pywebhdfs;https://github.com/pywebhdfs/pywebhdfs;False;
virtualenvwrapper;https://github.com/virtualenvwrapper/virtualenvwrapper;True;
pykerberos;https://github.com/pykerberos/pykerberos;True;
python-cinderclient;https://github.com/python-cinderclient/python-cinderclient;True;
sentinels;https://github.com/sentinels/sentinels;True;
databricks-pypi2;https://github.com/databricks-pypi2/databricks-pypi2;True;
os-client-config;https://github.com/os-client-config/os-client-config;True;
hashids;https://github.com/hashids/hashids;True;
awsebcli;https://github.com/aws/aws-elastic-beanstalk-cli-setup;False;
filechunkio;https://github.com/filechunkio/filechunkio;True;
python-glanceclient;https://github.com/python-glanceclient/python-glanceclient;True;
pyformance;https://github.com/pyformance/pyformance;True;
mongomock;https://github.com/mongomock/mongomock;False;
cheetah;https://github.com/cheetah/cheetah;True;
locustio;https://github.com/locustio/locustio;True;https://github.com/locustio/locust
dash-renderer;https://github.com/dash-renderer/dash-renderer;True;
dash-core-components;https://github.com/dash-core-components/dash-core-components;True;
cftime;https://github.com/unidata/cftime;False;
flask-mail;https://github.com/rduplain/flask-mail;True;
astropy;http://github.com/astropy/astropy;False;
neptune-client;https://github.com/neptune-client/neptune-client;True;
webapp2;https://github.com/webapp2/webapp2;True;
python-stdnum;https://github.com/python-stdnum/python-stdnum;True;https://github.com/arthurdejong/python-stdnum
pythonwhois;https://github.com/pythonwhois/pythonwhois;True;
appium-python-client;https://github.com/appium/python-client;False;
launcher;https://github.com/ha6000/launcher-for-python;True;
tf-estimator-nightly;https://github.com/tensorflow/estimator;False;
polib;https://github.com/polib/polib;True;
capstone;https://github.com/capstone/capstone;True;https://github.com/aquynh/capstone
pathlib-mate;https://github.com/machu-gwu/pathlib_mate-project;False;
dash-table;https://github.com/dash-table/dash-table;True;
tempita;https://github.com/tempita/tempita;True;
brunel;https://github.com/Brunel-Visualization/Brunel;False;
request;https://github.com/request/request;False;
imblearn;https://github.com/imblearn/imblearn;True;
post;https://github.com/post/post;False;
get;https://github.com/get/get;True;
python-openstackclient;https://github.com/python-openstackclient/python-openstackclient;True;
solartime;https://github.com/solartime/solartime;True;
django-formtools;https://github.com/jazzband/django-formtools;False;https://github.com/django/django-formtools
enum;https://github.com/enum/enum;True;
djangorestframework-simplejwt;https://github.com/davesque/django-rest-framework-simplejwt;False;https://github.com/SimpleJWT/django-rest-framework-simplejwt
empy;https://github.com/empy/empy;True;
interval;https://github.com/interval/interval;True;
azureml-automl-core;https://github.com/azureml-automl-core/azureml-automl-core;True;
python-neutronclient;https://github.com/python-neutronclient/python-neutronclient;True;
socksipy-branch;https://github.com/socksipy-branch/socksipy-branch;True;
boxsdk;https://github.com/box/box-python-sdk;False;
ipyparallel;https://github.com/ipyparallel/ipyparallel;True;
pager;https://github.com/pager/pager;True;
platformio;https://github.com/platformio/platformio-core;False;https://github.com/platformio/platformio
lightstep;https://github.com/lightstep/lightstep;True;
pygeocoder;https://github.com/pygeocoder/pygeocoder;True;
amazon-dax-client;https://github.com/amazon-dax-client/amazon-dax-client;True;
hurry-filesize;https://github.com/hurry-filesize/hurry-filesize;True;
gevent-websocket;https://github.com/methane/wsaccel;False;
routes;https://github.com/routes/routes;True;
pylibmc;https://github.com/pylibmc/pylibmc;True;https://github.com/lericson/pylibmc
azureml-train-automl-client;https://github.com/azureml-train-automl-client/azureml-train-automl-client;True;
palettable;https://github.com/palettable/palettable;True;https://github.com/jiffyclub/palettable
xlocal;https://github.com/xlocal/xlocal;True;
azureml-defaults;https://github.com/azureml-defaults/azureml-defaults;True;
django-rest-framework;https://github.com/django-rest-framework/django-rest-framework;True;https://github.com/encode/django-rest-framework
moznetwork;https://github.com/moznetwork/moznetwork;True;
wmctrl;https://github.com/wmctrl/wmctrl;True;
recordtype;https://github.com/recordtype/recordtype;True;
ibm-db;https://github.com/ibm-db/ibm-db;True;
geoalchemy2;https://github.com/geoalchemy2/geoalchemy2;True;
httpagentparser;https://github.com/httpagentparser/httpagentparser;True;https://github.com/shon/httpagentparser
oslo-concurrency;https://github.com/oslo-concurrency/oslo-concurrency;True;
mando;https://github.com/mando/mando;True;https://github.com/rubik/mando
uuid;https://github.com/uuid/uuid;True;
logging;https://github.com/logging/logging;False;
recordclass;https://github.com/recordclass/recordclass;True;
jsonnet;https://github.com/jsonnet/jsonnet;True;
proglog;https://github.com/Edinburgh-Genome-Foundry/Proglog;False;
suds;https://github.com/suds/suds;True;
logbook;https://github.com/logbook/logbook;True;
vatnumber;https://github.com/vatnumber/vatnumber;True;
numpydoc;https://github.com/numpydoc/numpydoc;True;https://github.com/numpy/numpydoc
pytest-cache;https://github.com/pytest-cache/pytest-cache;True;
progressbar;https://github.com/progressbar/progressbar;True;https://github.com/niltonvolpato/python-progressbar
pydub;https://github.com/pydub/pydub;True;
functools;https://github.com/functools/functools;True;
publicsuffix;https://github.com/publicsuffix/publicsuffix;True;
pyjwkest;https://github.com/pyjwkest/pyjwkest;True;
demjson;https://github.com/demjson/demjson;True;
mpld3;https://github.com/jakevdp/mpld3;False;
wasmer;https://github.com/wasmerio/wasmer;False;
junitparser;https://github.com/gastlygem/junitparser;False;https://github.com/weiwei/junitparser
pubnub;https://github.com/pubnub/pubnub;True;
tensorflow-addons;https://github.com/tensorflow-addons/tensorflow-addons;True;
protego;https://github.com/protego/protego;True;
protorpc;https://github.com/protorpc/protorpc;True;
hacking;https://github.com/jcrocholl/pep8;False;
ts-flint;https://github.com/ts-flint/ts-flint;True;
pywinauto;https://github.com/pywinauto/pywinauto;False;
onnxruntime;https://github.com/microsoft/onnxruntime;False;
limits;https://github.com/limits/limits;True;https://github.com/alisaifee/limits
ortools;https://github.com/google/or-tools;False;
bugsnag;https://github.com/bugsnag/bugsnag;True;
databricks-pypi-extras;https://github.com/databricks-pypi-extras/databricks-pypi-extras;True;
htcondor;https://github.com/htcondor/htcondor;False;
