Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different;Names Lev. dist.;Names Similarity;Statistics;Descr. Lev. dist.;Readthedocs;GitHub badge;PyPI badge;Python lang. perc.;Other languages
profilehooks;https://github.com/mgedmin/profilehooks;False;https://github.com/mgedmin/profilehooks;https://github.com/mgedmin/profilehooks;https://github.com/mgedmin/profilehooks;https://github.com/mgedmin/profilehooks;100%;False;0/12;Equal;False;438/1437;False;True;False;88.1%;Makefile (11.9%)
twitter-common-options;https://github.com/twitter/commons;False;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;100%;True;15/22;Different;True;84/84;False;False;False;29.8%;Java (65.8%) - Thrift (1.6%) - JavaScript (0.8%) - Shell (0.7%) - GAP (0.7%) - Other (0.6%)
grpcio-health-checking;https://github.com/grpcio-health-checking/grpcio-health-checking;True;;;;;0%;True;22/22;Different;False;269/269;False;False;False;0%;
twitter-common-log;https://github.com/twitter/commons;False;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;https://github.com/twitter-archive/commons;100%;True;12/18;Different;True;84/84;False;False;False;29.8%;Java (65.8%) - Thrift (1.6%) - JavaScript (0.8%) - Shell (0.7%) - GAP (0.7%) - Other (0.6%)
requests-html;https://github.com/kennethreitz/requests-html;False;https://github.com/kennethreitz/requests-html;https://github.com/kennethreitz/requests-html;https://github.com/kennethreitz/requests-html;https://github.com/kennethreitz/requests-html;100%;False;0/13;Equal;True;510/1455;False;True;False;99.7%;Makefile (0.3%)
httmock;https://github.com/patrys/httmock;False;https://github.com/patrys/httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;https://github.com/patrys/httmock;100%;False;0/7;Equal;True;2/1454;False;False;False;100.0%;
eth-keyfile;https://github.com/ethereum/eth-keyfile;False;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;https://github.com/ethereum/eth-keyfile;100%;False;0/11;Equal;True;73/1466;False;False;False;90.3%;Makefile (6.0%) - Shell (3.7%)
implicit;https://github.com/spotify/annoy;False;https://github.com/benfred/implicit;https://github.com/spotify/annoy;https://github.com/benfred/implicit;https://github.com/benfred/implicit;66%;True;0/8;Equal;True;444/1463;https://github.com/readthedocs/sphinx_rtd_theme;True;False;88.3%;Cuda (9.0%) - C++ (2.6%) - C (0.1%)
image;https://github.com/francescortiz/image;False;https://github.com/francescortiz/image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;https://github.com/francescortiz/image;100%;False;0/5;Equal;True;1345/1489;False;False;False;94.6%;HTML (5.0%) - SCSS (0.4%)
python-designateclient;https://github.com/python-designateclient/python-designateclient;True;;;;;0%;True;22/22;Different;False;531/531;False;False;False;0%;
flask-assets;https://github.com/miracle2k/flask-assets;False;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;https://github.com/miracle2k/flask-assets;100%;False;0/12;Equal;True;50/171;False;False;False;99.4%;Other (0.6%)
patch;https://github.com/techtonik/python-patch;False;https://github.com/techtonik/python-patch;;https://github.com/techtonik/python-patch;https://github.com/techtonik/python-patch;66%;False;7/12;Substring;True;111/1077;False;False;True;59.9%;C++ (38.3%) - C (1.2%) - Other (0.6%)
pycli;https://github.com/pycli/pycli;True;;;;;0%;True;5/5;Different;False;339/339;False;False;False;0%;
pytorch-transformers;https://github.com/huggingface/pytorch-transformers;False;https://github.com/huggingface/pytorch-transformers;https://github.com/huggingface/pytorch-transformers;https://github.com/huggingface/pytorch-transformers;https://github.com/huggingface/pytorch-transformers;100%;False;0/20;Equal;True;1158/1488;False;False;False;93.4%;Jupyter (Notebook%) - Other (0.4%)
yappi;https://github.com/sumerc/yappi;False;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;https://github.com/sumerc/yappi;100%;False;0/5;Equal;True;184/1487;False;False;False;69.2%;C (30.8%)
eth-rlp;https://github.com/ethereum/eth-rlp;False;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;https://github.com/ethereum/eth-rlp;100%;False;0/7;Equal;True;6/1450;https://github.com/readthedocs/sphinx_rtd_theme;True;True;64.6%;Makefile (18.0%) - Shell (17.4%)
whoosh;https://github.com/whoosh/whoosh;True;;;;;0%;True;6/6;Different;False;1467/1467;False;False;False;0%;
datadiff;https://github.com/datadiff/datadiff;True;;;;;0%;True;8/8;Different;False;1441/1441;False;False;False;0%;
django-bootstrap3;https://github.com/zostera/django-bootstrap3;False;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;https://github.com/zostera/django-bootstrap3;100%;False;0/17;Equal;True;2/1444;https://github.com/readthedocs/sphinx_rtd_theme;True;True;92.1%;HTML (7.0%) - Makefile (0.9%)
mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;False;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;https://github.com/byrnereese/mkdocs-minify-plugin;100%;False;0/20;Equal;True;1465/1465;False;False;False;97.9%;Shell (2.1%)
seleniumbase;https://github.com/seleniumbase/seleniumbase;False;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;https://github.com/seleniumbase/seleniumbase;100%;False;0/12;Equal;True;2/1428;False;True;True;93.5%;CSS (4.4%) - Shell (1.0%) - HTML (0.7%) - Dockerfile (0.2%) - Batchfile (0.1%) - JavaScript (0.1%)
xmljson;https://github.com/sanand0/xmljson;False;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;https://github.com/sanand0/xmljson;100%;False;0/7;Equal;True;16/1450;https://github.com/readthedocs/sphinx_rtd_theme;True;True;96.0%;Makefile (4.0%)
graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;False;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;https://github.com/graphql-python/graphene-sqlalchemy;100%;False;0/19;Equal;True;472/1448;False;True;True;99.7%;Shell (0.3%)
python-twitter;https://github.com/bear/python-twitter;False;https://github.com/bear/python-twitter;https://github.com/bear/python-twitter;https://github.com/bear/python-twitter;https://github.com/bear/python-twitter;100%;False;0/14;Equal;True;1125/1499;False;False;True;99.4%;Other (0.6%)
azureml-contrib-services;https://github.com/azureml-contrib-services/azureml-contrib-services;True;;;;;0%;True;24/24;Different;False;24/24;False;False;False;0%;
gtts;https://github.com/pndurette/gtts;False;https://github.com/pndurette/gtts;https://github.com/pndurette/gtts;https://github.com/pndurette/gtts;https://github.com/pndurette/gtts;100%;False;0/4;Equal;True;21/1240;False;True;True;100.0%;
colored;https://github.com/colored/colored;True;;;;;0%;True;7/7;Different;False;1450/1450;False;False;False;0%;
cmarkgfm;https://github.com/jonparrott/cmarkgfm;False;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;https://github.com/theacodes/cmarkgfm;100%;True;0/8;Equal;True;86/1471;False;False;False;54.5%;C (45.5%)
oci;https://github.com/oracle/oci-python-sdk;False;https://github.com/oracle/oci-python-sdk;https://github.com/oracle/oci-python-sdk;https://github.com/oracle/oci-python-sdk;https://github.com/oracle/oci-python-sdk;100%;False;11/14;Substring;False;71/1459;https://github.com/readthedocs/sphinx_rtd_theme;False;False;100.0%;
