Package name;Old URL;Useless;Metadata URL;PyPI URL;OSSGadget URL;Final URL;Accuracy;Different
m2crypto;https://github.com/m2crypto/m2crypto;False;;;https://github.com/m2crypto/m2crypto;https://github.com/m2crypto/m2crypto;33%;False
click-log;https://github.com/click-contrib/click-log;False;https://github.com/click-contrib/click-log;https://github.com/click-contrib/click-log;https://github.com/click-contrib/click-log;https://github.com/click-contrib/click-log;100%;False
environs;https://github.com/sloria/environs;False;https://github.com/sloria/environs;https://github.com/sloria/environs;https://github.com/sloria/environs;https://github.com/sloria/environs;100%;False
azure-mgmt-core;https://github.com/azure/azure-sdk-for-python;False;https://github.com/azure/azure-sdk-for-python;;https://github.com/azure/azure-sdk-for-python;https://github.com/azure/azure-sdk-for-python;66%;False
google-cloud-redis;https://github.com/googleapis/python-redis;False;https://github.com/googleapis/python-redis;https://github.com/googleapis/python-redis;https://github.com/googleapis/python-redis;https://github.com/googleapis/python-redis;100%;False
dynaconf;https://github.com/rochacbruno/dynaconf;False;https://github.com/rochacbruno/dynaconf;https://github.com/rochacbruno/dynaconf;https://github.com/rochacbruno/dynaconf;https://github.com/rochacbruno/dynaconf;100%;False
py-moneyed;https://github.com/limist/py-moneyed;False;https://github.com/py-moneyed/py-moneyed;https://github.com/py-moneyed/py-moneyed;https://github.com/py-moneyed/py-moneyed;https://github.com/py-moneyed/py-moneyed;100%;True
parsley;https://github.com/parsley/parsley;True;;;;;0%;True
dumb-init;https://github.com/yelp/dumb-init;False;https://github.com/yelp/dumb-init;;https://github.com/yelp/dumb-init;https://github.com/yelp/dumb-init;66%;False
azureml-designer-serving;https://github.com/azureml-designer-serving/azureml-designer-serving;True;;;;;0%;True
braintree;https://github.com/braintree/braintree_python;False;https://github.com/braintree/braintree_python;https://github.com/braintree/braintree_python;https://github.com/braintree/braintree_python;https://github.com/braintree/braintree_python;100%;False
django-fsm;https://github.com/kmmbvnr/django-fsm;False;https://github.com/kmmbvnr/django-fsm;https://github.com/kmmbvnr/django-fsm;https://github.com/kmmbvnr/django-fsm;https://github.com/kmmbvnr/django-fsm;100%;False
deepmerge;https://github.com/deepmerge/deepmerge;True;https://github.com/toumorokoshi/deepmerge;;;https://github.com/toumorokoshi/deepmerge;33%;True
apache-libcloud;https://github.com/apache/libcloud;False;;https://github.com/apache/libcloud;https://github.com/apache/libcloud;https://github.com/apache/libcloud;66%;False
fpdf;https://github.com/reingart/pyfpdf;False;https://github.com/reingart/pyfpdf;https://github.com/reingart/pyfpdf;https://github.com/reingart/pyfpdf;https://github.com/reingart/pyfpdf;100%;False
json2parquet;https://github.com/andrewgross/json2parquet;False;https://github.com/andrewgross/json2parquet;https://github.com/andrewgross/json2parquet;https://github.com/andrewgross/json2parquet;https://github.com/andrewgross/json2parquet;100%;False
webassets;https://github.com/miracle2k/webassets;False;https://github.com/miracle2k/webassets;;https://github.com/miracle2k/webassets;https://github.com/miracle2k/webassets;66%;False
elementpath;https://github.com/sissaschool/elementpath;False;https://github.com/sissaschool/elementpath;https://github.com/sissaschool/elementpath;https://github.com/sissaschool/elementpath;https://github.com/sissaschool/elementpath;100%;False
google-cloud-iam;https://github.com/googleapis/python-iam;False;https://github.com/googleapis/python-iam;https://github.com/googleapis/python-iam;https://github.com/googleapis/python-iam;https://github.com/googleapis/python-iam;100%;False
imgaug;https://github.com/aleju/imgaug;False;https://github.com/aleju/imgaug;https://github.com/aleju/imgaug;https://github.com/aleju/imgaug;https://github.com/aleju/imgaug;100%;False
testing-common-database;https://github.com/tk0miya/testing.common.database;False;https://github.com/tk0miya/testing.common.database;https://github.com/tk0miya/testing.common.database;https://github.com/tk0miya/testing.common.database;https://github.com/tk0miya/testing.common.database;100%;False
djangorestframework-xml;https://github.com/jpadilla/django-rest-framework-xml;False;https://github.com/jpadilla/django-rest-framework-xml;https://github.com/jpadilla/django-rest-framework-xml;https://github.com/jpadilla/django-rest-framework-xml;https://github.com/jpadilla/django-rest-framework-xml;100%;False
electrical-calendar;https://github.com/electrical-calendar/electrical-calendar;True;;;;;0%;True
pybrake;https://github.com/airbrake/pybrake;False;https://github.com/airbrake/pybrake;https://github.com/airbrake/pybrake;https://github.com/airbrake/pybrake;https://github.com/airbrake/pybrake;100%;False
google-cloud-asset;https://github.com/googleapis/python-asset;False;https://github.com/googleapis/python-asset;https://github.com/googleapis/python-asset;https://github.com/googleapis/python-asset;https://github.com/googleapis/python-asset;100%;False
sorl-thumbnail;https://github.com/jazzband/sorl-thumbnail;False;https://github.com/jazzband/sorl-thumbnail;https://github.com/jazzband/sorl-thumbnail;https://github.com/jazzband/sorl-thumbnail;https://github.com/jazzband/sorl-thumbnail;100%;False
jinja2-pluralize;https://github.com/audreyr/jinja2_pluralize;False;https://github.com/audreyr/jinja2_pluralize;https://github.com/audreyr/jinja2_pluralize;https://github.com/audreyr/jinja2_pluralize;https://github.com/audreyr/jinja2_pluralize;100%;False
compatibility-lib;https://github.com/googlecloudplatform/cloud-opensource-python;False;;;https://github.com/googlecloudplatform/cloud-opensource-python;https://github.com/googlecloudplatform/cloud-opensource-python;33%;False
web3;https://github.com/ethereum/web3.py;False;https://github.com/ethereum/web3.py;https://github.com/ethereum/web3.py;https://github.com/ethereum/web3.py;https://github.com/ethereum/web3.py;100%;False
djangorestframework-camel-case;https://github.com/vbabiy/djangorestframework-camel-case;False;https://github.com/vbabiy/djangorestframework-camel-case;https://github.com/vbabiy/djangorestframework-camel-case;https://github.com/vbabiy/djangorestframework-camel-case;https://github.com/vbabiy/djangorestframework-camel-case;100%;False
placebo;https://github.com/garnaat/placebo;False;https://github.com/garnaat/placebo;https://github.com/garnaat/placebo;https://github.com/garnaat/placebo;https://github.com/garnaat/placebo;100%;False
bravado-core;https://github.com/yelp/bravado-core;False;https://github.com/yelp/bravado-core;https://github.com/yelp/bravado-core;https://github.com/yelp/bravado-core;https://github.com/yelp/bravado-core;100%;False
mizani;https://github.com/has2k1/mizani;False;https://github.com/has2k1/mizani;https://github.com/has2k1/mizani;https://github.com/has2k1/mizani;https://github.com/has2k1/mizani;100%;False
cvxpy;https://github.com/cvxgrp/cvxpy;False;https://github.com/cvxgrp/cvxpy;;https://github.com/cvxgrp/cvxpy;https://github.com/cvxgrp/cvxpy;66%;False
importlib;https://github.com/brettcannon/importlib;False;https://github.com/brettcannon/importlib;https://github.com/brettcannon/importlib;https://github.com/brettcannon/importlib;https://github.com/brettcannon/importlib;100%;False
flask-principal;https://github.com/mattupstate/flask-principal;False;https://github.com/mattupstate/flask-principal;https://github.com/mattupstate/flask-principal;https://github.com/mattupstate/flask-principal;https://github.com/mattupstate/flask-principal;100%;False
lifelines;https://github.com/camdavidsonpilon/lifelines;False;https://github.com/camdavidsonpilon/lifelines;https://github.com/camdavidsonpilon/lifelines;https://github.com/camdavidsonpilon/lifelines;https://github.com/camdavidsonpilon/lifelines;100%;False
django-celery;https://github.com/celery/django-celery;False;;https://github.com/celery/django-celery;https://github.com/celery/django-celery;https://github.com/celery/django-celery;66%;False
osqp;https://github.com/oxfordcontrol/osqp-wheels;False;https://github.com/oxfordcontrol/osqp;https://github.com/conda-forge/osqp-feedstock;https://github.com/oxfordcontrol/osqp-python;https://github.com/oxfordcontrol/osqp-python;33%;True
suds-py3;https://github.com/cackharot/suds-py3;False;https://github.com/cackharot/suds-py3;https://github.com/cackharot/suds-py3;https://github.com/cackharot/suds-py3;https://github.com/cackharot/suds-py3;100%;False
testscenarios;https://github.com/testscenarios/testscenarios;True;;;;;0%;True
onnxconverter-common;https://github.com/microsoft/onnxconverter-common;False;https://github.com/microsoft/onnxconverter-common;https://github.com/microsoft/onnxconverter-common;https://github.com/microsoft/onnxconverter-common;https://github.com/microsoft/onnxconverter-common;100%;False
