Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Names Lev. dist.;Names Similarity;Descr. Lev. dist.;GitHub badge;Python lang. perc.;Other languages;OSSGadget position
coverage;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;https://github.com/nedbat/coveragepy;2/10;Substring;11/1320;True;78.3%;HTML (10.7%) - JavaScript (3.6%) - C (3.4%) - CSS (2.3%) - SCSS (1.1%) - Other (0.6%);TP
scikit-learn;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;https://github.com/scikit-learn/scikit-learn;;https://github.com/scikit-learn/scikit-learn;0/12;Equal;4/1449;True;97.7%;C++ (1.5%) - Other (0.8%);TP
pyrsistent;https://github.com/tobgu/pyrsistent;https://github.com/tobgu/pyrsistent;https://github.com/tobgu/pyrsistent;https://github.com/tobgu/pyrsistent;;https://github.com/tobgu/pyrsistent;https://github.com/tox-dev/tox;https://github.com/tobgu/pyrsistent;0/10;Equal;21/1474;True;85.3%;C (14.7%);TP
itsdangerous;https://github.com/pallets/itsdangerous;https://github.com/pallets/itsdangerous;;https://github.com/pallets/itsdangerous;https://github.com/pallets/itsdangerous;https://github.com/pallets/itsdangerous;;;0/12;Equal;118/1432;False;100.0%;;TP(?)
wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;https://github.com/grahamdumpleton/wrapt;;https://github.com/grahamdumpleton/wrapt;0/5;Equal;12/1469;True;72.0%;C (27.9%) - Makefile (0.1%);TP
pillow;https://github.com/python-pillow/pillow;;;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;https://github.com/python-pillow/pillow;0/6;Equal;0/885;True;57.9%;C (40.7%) - HTML (0.6%) - PostScript (0.4%) - Shell (0.2%) - CMake (0.1%) - Other (0.1%);TP
google-cloud-storage;https://github.com/googleapis/python-storage;https://github.com/googleapis/python-storage;;;https://github.com/googleapis/python-storage;https://github.com/googleapis/python-storage;;https://github.com/googleapis/google-cloud-python;11/20;Different;73/1447;True;97.0%;Shell (2.7%) - Dockerfile (0.3%);TP
virtualenv;https://github.com/pypa/virtualenv;;https://github.com/pypa/virtualenv;https://github.com/pypa/virtualenv;https://github.com/pypa/virtualenv;https://github.com/pypa/virtualenv;;https://github.com/pypa/virtualenv;0/10;Equal;0/283;True;97.4%;Shell (1.6%) - Other (1.0%);TP
ipaddress;https://github.com/phihag/ipaddress;https://github.com/phihag/ipaddress;https://github.com/phihag/ipaddress;https://github.com/phihag/ipaddress;https://github.com/phihag/ipaddress;https://github.com/phihag/ipaddress;;;0/9;Equal;754/800;False;98.8%;Other (1.2%);
websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;https://github.com/websocket-client/websocket-client;0/16;Equal;1007/1458;True;23.7%;HTML (76.3%);TP
pyopenssl;https://github.com/pyca/pyopenssl;;https://github.com/pyca/pyopenssl;https://github.com/pyca/pyopenssl;https://github.com/pyca/cryptography;;;;0/9;Equal;684/1440;False;100.0%;;TP(?)
sqlalchemy;https://github.com/sqlalchemy/sqlalchemy;;https://github.com/sqlalchemy/sqlalchemy;https://github.com/sqlalchemy/sqlalchemy;;https://github.com/sqlalchemy/sqlalchemy;;;0/10;Equal;22/1459;True;99.5%;C (0.5%);TP
entrypoints;https://github.com/takluyver/entrypoints;https://github.com/takluyver/entrypoints;https://github.com/takluyver/entrypoints;https://github.com/takluyver/entrypoints;https://github.com/takluyver/entrypoints;https://github.com/takluyver/entrypoints;https://github.com/takluyver/entrypoints;;0/11;Equal;620/1272;False;100.0%;;TP(?)
google-resumable-media;https://github.com/googleapis/google-resumable-media-python;https://github.com/googleapis/google-resumable-media-python;https://github.com/googleapis/google-resumable-media-python;https://github.com/googleapis/google-resumable-media-python;https://github.com/googleapis/google-resumable-media-python;https://github.com/googleapis/google-resumable-media-python;;;7/29;Substring;22/449;False;95.7%;Shell (3.9%) - Dockerfile (0.4%);TP(?)
joblib;https://github.com/joblib/joblib;;https://github.com/joblib/joblib;https://github.com/joblib/joblib;https://github.com/tommoral/loky;;https://github.com/joblib/joblib;;0/6;Equal;4/1455;True;98.8%;Shell (1.2%);TP
lxml;https://github.com/lxml/lxml;;https://github.com/lxml/lxml;https://github.com/lxml/lxml;https://github.com/lxml/lxml;;;;0/4;Equal;1175/1468;False;91.8%;XSLT (6.5%) - Other (1.7%);
configparser;https://github.com/jaraco/configparser;https://github.com/jaraco/configparser;https://github.com/jaraco/configparser;https://github.com/jaraco/configparser;https://github.com/psf/black;https://github.com/jaraco/configparser;;https://github.com/jaraco/configparser;0/12;Equal;6/1441;True;87.6%;Roff (12.4%);TP
prompt-toolkit;https://github.com/prompt-toolkit/python-prompt-toolkit;https://github.com/prompt-toolkit/python-prompt-toolkit;;;https://github.com/prompt-toolkit/python-prompt-toolkit;https://github.com/prompt-toolkit/python-prompt-toolkit;https://github.com/prompt-toolkit/python-prompt-toolkit;https://github.com/prompt-toolkit/python-prompt-toolkit;7/21;Substring;47/1456;True;100.0%;;TP
asn1crypto;https://github.com/wbond/asn1crypto;https://github.com/wbond/asn1crypto;https://github.com/wbond/asn1crypto;https://github.com/wbond/asn1crypto;https://github.com/wbond/asn1crypto;https://github.com/wbond/asn1crypto;;https://github.com/wbond/asn1crypto;0/10;Equal;0/1383;True;100.0%;;TP
ipython;https://github.com/ipython/ipython;;https://github.com/ipython/ipython;;https://github.com/ipython/ipython;https://github.com/ipython/ipython;https://github.com/ipython/ipython;;0/7;Equal;1064/1466;True;70.8%;Jupyter (Notebook%) - Other (0.4%);TP
pexpect;;;;;;;https://github.com/pexpect/pexpect;;;;;;;;
redis;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;https://github.com/andymccurdy/redis-py;3/8;Substring;234/1453;True;98.2%;Shell (1.5%) - Other (0.3%);TP
isodate;https://github.com/gweis/isodate;https://github.com/gweis/isodate;;;https://github.com/gweis/isodate;https://github.com/gweis/isodate;;https://github.com/gweis/isodate;0/7;Equal;1/1449;True;100.0%;;TP
httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;https://github.com/httplib2/httplib2;;;0/8;Equal;462/1453;False;81.5%;HTML (11.2%) - TeX (3.3%) - Shell (2.1%) - CSS (1.6%) - Makefile (0.3%);TP(?)
matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;https://github.com/matplotlib/matplotlib;;https://github.com/matplotlib/matplotlib;0/10;Equal;3/1453;True;88.9%;C++ (7.9%) - Jupyter (Notebook%) - Objective-C (1.0%) - JavaScript (0.4%) - C (0.3%) - Other (0.2%);TP
ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;https://github.com/pexpect/ptyprocess;;;0/10;Equal;2/509;False;100.0%;;TP(?)
