Package name;OSSGadget URL;Metadata URL;Homepage URL;PyPI URL;PyPI 2 URL;Statistics URL;Readthedocs URL;PyPI badge URL;Final URL;Real URL
milksnake;https://github.com/getsentry/milksnake;;;;;;;;;https://github.com/getsentry/milksnake
dotnetcore2;https://github.com/dotnet/core;https://github.com/dotnet/core;;;https://github.com/dotnet/core;https://github.com/dotnet/core;;;https://github.com/dotnet/core;https://github.com/dotnet/core
objectpath;https://github.com/adriank/objectpath;;;;;;;https://github.com/adriank/objectpath;https://github.com/adriank/objectpath;https://github.com/adriank/objectpath
clickclick;;;;;;;;https://github.com/hjacobs/python-clickclick;https://github.com/hjacobs/python-clickclick;
python-ldap;;;https://github.com/python-ldap/python-ldap;;;;;;https://github.com/python-ldap/python-ldap;https://github.com/python-ldap/python-ldap
gapic-google-cloud-datastore-v1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
atlassian-jwt-auth;https://github.com/atlassian/asap-authentication-python;;;;;;;https://github.com/atlassian/asap-authentication-python;https://github.com/atlassian/asap-authentication-python;https://github.com/atlassian/asap-authentication-python
tb-nightly;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;;;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard;;;https://github.com/tensorflow/tensorboard;https://github.com/tensorflow/tensorboard
mpi4py;;;;;;;;;;https://github.com/mpi4py/mpi4py
snowflake-sqlalchemy;https://github.com/snowflakedb/snowflake-sqlalchemy;;;;;;;;;https://github.com/snowflakedb/snowflake-sqlalchemy
ibm-db-sa;https://github.com/ibmdb/python-ibmdbsa;;;;;;;;;https://github.com/ibmdb/python-ibmdbsa
wget;;;;;;;;;;https://github.com/steveej/python-wget
clickhouse-cityhash;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;;;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash;;;https://github.com/xzkostyan/python-cityhash;https://github.com/xzkostyan/python-cityhash
httpretty;https://github.com/gabrielfalcao/httpretty;;;;https://github.com/chrisk/fakeweb;;https://github.com/gabrielfalcao/httpretty;https://github.com/gabrielfalcao/httpretty;https://github.com/gabrielfalcao/httpretty;https://github.com/gabrielfalcao/httpretty
azureml-sdk;https://github.com/azure/machinelearningnotebooks;;;;https://github.com/azure/machinelearningnotebooks;;;;https://github.com/azure/machinelearningnotebooks;https://github.com/azure/machinelearningnotebooks
pywebhdfs;;;;;;;;https://github.com/pywebhdfs/pywebhdfs;https://github.com/pywebhdfs/pywebhdfs;https://github.com/pywebhdfs/pywebhdfs
virtualenvwrapper;;;;;;;https://github.com/readthedocs/sphinx_rtd_theme;;https://github.com/readthedocs/sphinx_rtd_theme;
mkdocs;;;https://github.com/mkdocs/mkdocs;;;;;;https://github.com/mkdocs/mkdocs;https://github.com/mkdocs/mkdocs
hashids;;;;;;;;https://github.com/davidaurelio/hashids-python;https://github.com/davidaurelio/hashids-python;https://github.com/davidaurelio/hashids-python
mongomock;;;;;;;;;;https://github.com/mongomock/mongomock
locustio;;;https://github.com/locustio/locust;;;;;;https://github.com/locustio/locust;https://github.com/locustio/locust
dash;https://github.com/plotly/dash;;https://github.com/plotly/jupyter-dash;https://github.com/plotly/dash;https://github.com/plotly/plotly.js;;;https://github.com/plotly/dash;https://github.com/plotly/dash;https://github.com/plotly/dash
ninja;https://github.com/scikit-build/ninja-python-distributions;;https://github.com/ninja-build/ninja;;https://github.com/scikit-build/ninja-python-distributions;https://github.com/ninja-build/ninja;https://github.com/scikit-build/scikit-build;https://github.com/scikit-build/ninja-python-distributions;https://github.com/ninja-build/ninja;https://github.com/scikit-build/ninja-python-distributions
cftime;https://github.com/unidata/cftime;;;;https://github.com/unidata/netcdf4-python;;;https://github.com/unidata/cftime;https://github.com/unidata/netcdf4-python;https://github.com/unidata/cftime
libsass;https://github.com/sass/libsass;;https://github.com/sass/libsass;https://github.com/sass/libsass;https://github.com/sass/libsass;https://github.com/sass/libsass-python;;;https://github.com/sass/libsass;https://github.com/sass/libsass-python
urwid;;;https://github.com/urwid/urwid;;;;;;https://github.com/urwid/urwid;https://github.com/urwid/urwid
tf-estimator-nightly;https://github.com/tensorflow/estimator;;;;;https://github.com/tensorflow/estimator;;;https://github.com/tensorflow/estimator;https://github.com/tensorflow/estimator
capstone;;;https://github.com/aquynh/capstone;;;;;;https://github.com/aquynh/capstone;https://github.com/aquynh/capstone
pyusb;;;https://github.com/pyusb/pyusb;;;;;;https://github.com/pyusb/pyusb;https://github.com/pyusb/pyusb
pathlib-mate;https://github.com/machu-gwu/pathlib_mate-project;;;;https://github.com/machu-gwu/pathlib_mate-project;;;https://github.com/machu-gwu/pathlib_mate-project;https://github.com/machu-gwu/pathlib_mate-project;https://github.com/machu-gwu/pathlib_mate-project
brunel;https://github.com/brunel-visualization/brunel;;;;https://github.com/brunel-visualization/brunel;;;;https://github.com/brunel-visualization/brunel;https://github.com/brunel-visualization/brunel
request;;;;;;;;;;
post;;;;;;;;;;
boxsdk;https://github.com/box/box-python-sdk;;;;;;https://github.com/box/box-python-sdk;https://github.com/box/box-python-sdk;https://github.com/box/box-python-sdk;https://github.com/box/box-python-sdk
gapic-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
proto-google-cloud-error-reporting-v1beta1;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis;;;https://github.com/googleapis/googleapis;https://github.com/googleapis/googleapis
ipyparallel;;;;;;;https://github.com/ipython/ipyparallel;;https://github.com/ipython/ipyparallel;https://github.com/ipython/ipyparallel
platformio;https://github.com/platformio/platformio-core;;;https://github.com/platformio/platformio-core;https://github.com/platformio/platformio-examples;;;https://github.com/platformio/platformio-examples;https://github.com/platformio/platformio-examples;https://github.com/platformio/platformio-core
gevent-websocket;https://github.com/methane/wsaccel;;;;;;;;;https://github.com/jgelens/gevent-websocket
routes;;;;;;;https://github.com/bbangert/routes;;https://github.com/bbangert/routes;https://github.com/bbangert/routes
