Vuln ID;Severity;Package name;Clone dir;Commit hash;Release;Release type;Commit date;Release date;Time interval
79;M;django-hashid-field;django-hashid-field;2a0be45333c5a700bbba0e15533ff8dce589e956;3.1.1;patch;2020-01-15;2020-01-15;0
80;M;django-haystack;django-haystack;1b1b986890b5cb330b0b8a963b090e9b831c198c;1.2.0;minor;2009-03-24;2011-05-03;769
81;H;django-js-reverse;django-js-reverse;78d6aff2276f2d341f643b095515f8aaba5e67c2;0.9.1;patch;2019-05-09;2019-05-09;0
82;M;django-oauth-toolkit;django-oauth-toolkit;83367ffe5ad1046f5a5338537a8655cb1c16400d;0.8.0;minor;2015-02-02;2015-03-27;55
85;M;django-rest-framework;django-rest-framework;4121b01b912668c049b26194a9a107c27a332429;3.11.2;patch;2020-09-30;2020-09-30;0
86;M;django-revproxy;django-revproxy;e9b4dfd162c73adbad6077355c9420d0c40d4f3f;0.9.7;patch;2015-09-16;2015-12-03;77
87;M;django-select2;django-select2;4a1b83ad1e9b2523961a0f23706c70b01683494f;5.7.0;minor;2016-01-26;2016-01-26;0
88;M;django-storages;django-storages;6ee6a739752923c60eaa1e82262c1d07208ec7f6;1.7.1;patch;2018-09-02;2018-09-06;4
89;H;django-tastypie;django-tastypie;e8af315211b07c8f48f32a063233cc3f76dd5bc2;0.9.11;patch;2011-10-28;2011-12-09;41
90;M;django-two-factor-auth;django-two-factor-auth;454fd9842fa6e8bb772dbf0943976bc8e3335359;1.12.1;patch;2020-07-08;2020-07-08;0
91;M;django-user-sessions;django-user-sessions;f0c4077e7d1436ba6d721af85cee89222ca5d2d9;1.7.1;patch;2020-01-24;2020-01-24;0
92;M;djoser;djoser;fcd20f302fd1d5d37319b42094ad070f17ed36cc;1.5.1;patch;2019-04-01;2019-04-01;0
93;H;djoser;djoser;73b84926d9566df12d48245b06c5d5c986bbb272;1.3.2;patch;2018-11-17;2018-12-04;17
94;M;dynamodb-encryption-sdk;aws-dynamodb-encryption-python;90606ec9af7c2b5cb338d64639a62ee867d38d6b;1.3.0;minor;2021-02-04;2021-02-04;0
96;H;elastic-apm;apm-agent-python;47286d746e05897c6b3af8d465aa56ab1ed8d678;5.1.0;minor;2019-08-14;2019-08-14;0
97;M;facebook-sdk;facebook-sdk;3fc17fa91feacba3b2188dcd6033962dd7c89326;0.3.2;patch;2012-07-17;2012-07-28;11
98;L;flask;flask;aeed530e3221c1b445c13269dcd2fb67548bcefc;0.6.1;patch;2010-12-23;2010-12-31;8
99;M;flask-admin;flask-admin;75e51ebca2c4ef236854cfe88a237177813d39c1;1.5.3;patch;2018-09-05;2018-12-19;104
100;M;flask-admin;flask-admin;0dc5a48fd0a4fdd28172e0bc508373ddb58fc50b;1.5.2;patch;2017-06-29;2018-08-27;423
101;M;flask-admin;flask-admin;f447db0c78c03235d0dd6bdce0c5365fc6a7c321;1.3.0;minor;2015-08-20;2015-08-23;3
102;M;flask-appbuilder;flask-appbuilder;08942c100174a111af41ff90e5444253b83d6294;2.2.3;patch;2020-02-18;2020-02-18;0
103;M;flower;flower;ba454515ee13a2940e728dabfec25b136cce8a23;0.9.2;patch;2017-01-09;2017-06-18;159
104;H;gdal;gdal;148115fcc40f1651a5d15fa34c9a8c528e7147bb;3.1.0;minor;2019-08-04;2020-05-04;275
105;M;graphite-web;graphite-web;4a9f98647be279a39a982bd94922fdec710b0b3f;0.9.11;patch;2013-08-20;2013-08-20;0
106;M;gunicorn;gunicorn;c5be1bae5c42b1e600be22d0655fc3ec4e4711cb;20.0.1;patch;2019-11-20;2019-11-23;3
108;M;homeassistant;core;0f12b37977766647dcc34a0189b37c7379b5f665;0.73.2;patch;2018-07-16;2018-07-16;0
109;H;httpie;httpie;df36d6255df5793129b02ac82f1010171bd8a0a8;1.0.3;patch;2019-06-24;2019-08-26;62
110;H;httplib2;httplib2;bd9ee252c8f099608019709e22c0d705e98d26bc;0.19.0;minor;2021-01-27;2021-02-07;10
111;H;httplib2;httplib2;a1457cc31f3206cf691d11d2bf34e98865873e9e;0.18.0;minor;2020-05-20;2020-05-20;0
112;M;imageio;imageio;5b398716d518cd14e8b978ea3cd8ec6c0236c1d8;2.6.0;minor;2019-10-07;2019-10-07;0
113;M;ipython;ipython;0a8096adf165e2465550bd5893d7e352544e5967;3.2.2;patch;2015-09-16;2015-09-22;6
114;H;jinja2;jinja;9b53045c34e61013dc8f09b7e52a555fa16bed16;2.8.1;patch;2016-12-29;2016-12-29;0
115;M;jinja2;jinja;acb672b6a179567632e032f547582f30fa2f4aa7;2.7.2;patch;2014-01-10;2014-01-10;0
116;M;jinja2;jinja;acb672b6;2.7.2;patch;2014-01-10;2014-01-10;0
117;M;jwcrypto;jwcrypto;eb5be5bd94c8cae1d7f3ba9801377084d8e5a7ba;0.4.0;minor;2016-08-31;2016-11-29;88
118;M;luigi;luigi;06e3d9163c36f347cef09d9442aff55a10660f31;2.8.0;minor;2018-11-02;2018-11-02;0
119;M;luigi;luigi;695079822e6329614d16595c626f466c75446b70;2.7.5;patch;2018-04-11;2018-04-12;1
120;H;lxml;lxml;a105ab8dc262ec6735977c25c13f0bdfcdec72a7;4.6.2;patch;2020-11-26;2020-11-26;0
121;M;lxml;lxml;0245aba002f069a0b157282707bdf77418d1b5be;4.4.0;minor;2019-03-26;2019-07-27;121
122;M;lxml;lxml;6be1d081b49c97cfd7b3fbd934a193b668629109;4.2.5;patch;2018-09-09;2018-09-09;0
123;H;markdown2;python-markdown2;7b651260739647de5198323e0445b1618750c374;2.4.0;minor;2021-01-20;2021-01-22;2
124;M;markdown2;python-markdown2;1b1dcdd727c0ef03453b9f5ef5ae3679f1d72323;2.3.6;patch;2018-09-25;2018-09-25;0
125;M;marshmallow;marshmallow;98f2b4759c9a7c7ac5e790727d47f2b328520713;2.15.1;patch;2018-04-24;2018-04-25;1
126;M;mistune;mistune;5f06d724bc05580e7f203db2d4a4905fc1127f98;0.8.1;patch;2017-11-21;2017-11-21;0
127;H;mitmproxy;mitmproxy;d027891cec67e190403fc4fa73f17d7a74f02720;5.0.0;major;2019-01-13;2019-12-16;333
128;M;msgpack;msgpack-python;3b80233592674d18c8db7a62fa56504a5a285296;0.6.0;minor;2018-11-08;2018-11-30;22
129;M;nltk;nltk;f59d7ed8df2e0e957f7f247fe218032abdbe9a10;3.4.5;patch;2019-08-20;2019-08-20;0
130;M;notebook;notebook;32bd47068bcd042e7a76f46f3be44d9a59143820;6.1.6;patch;2020-11-18;2020-12-22;34
131;M;notebook;notebook;08c4c898182edbe97aadef1815cce50448f975cb;6.0.0;major;2019-03-27;2019-07-16;109
132;M;notebook;notebook;bfaa61385729ed4fb453863053f9a79141f01119;5.7.6;patch;2019-03-07;2019-03-08;1
133;M;notebook;notebook;288b73e1edbf527740e273fcc69b889460871648;6.0.0;major;2018-11-18;2019-07-16;243
134;M;notebook;notebook;107a89fce5f413fb5728c1c5d2c7788e1fb17491;6.0.0;major;2018-10-22;2019-07-16;269
135;H;numpy;numpy;89b688732b37616c9d26623f81aaee1703c30ffb;1.16.3;patch;2019-04-17;2019-04-21;4
136;M;numpy;numpy;0bb46c1448b0d3f5453d5182a17ea7ac5854ee15;1.9.0;minor;2014-02-06;2014-09-07;211
137;M;oic;pyoidc;64665112587ef43a57cb09442dd5dd3d175f583e;0.11.0;minor;2017-05-24;2017-08-07;73
138;H;paramiko;paramiko;56c96a659658acdbb873aef8809a7b508434dcce;2.0.9;patch;2018-09-18;2018-09-18;0
139;H;paramiko;paramiko;fa29bd8446c8eab237f5187d28787727b4610516;2.0.8;patch;2018-03-12;2018-03-12;0
140;H;pdoc3;pdoc;d9df475f5ab8afd2c45c920827ddd75fcb66b238;0.9.0;minor;2020-08-27;2020-08-27;0
141;L;peewee;peewee;6aee106831eed8c214086a20b26f72f2abff8db5;2.10.0;minor;2017-05-08;2017-05-08;0
142;H;pillow;pillow;756fff33128a0b643d10518a26ad04b726dd8973;8.1.2;patch;2021-03-06;2021-03-06;0
145;M;pillow;pillow;46f4a349b88915787fea3fb91348bb1665831bbb;7.1.0;minor;2020-04-01;2020-04-01;0
147;M;pillow;pillow;6a83e4324738bb0452fbe8074a995b1c73f08de7;7.1.0;minor;2020-04-01;2020-04-01;0
148;H;pillow;pillow;4e2def2539ec13e53a82e06c4b3daf00454100c4;6.2.2;patch;2020-01-02;2020-01-02;0
149;H;pillow;pillow;a79b65c47c7dc6fe623aadf09aa6192fc54548f3;6.2.2;patch;2020-01-02;2020-01-02;0
150;H;pillow;pillow;93b22b846e0269ee9594ff71a72bec02d2bea8fd;6.2.2;patch;2020-01-02;2020-01-02;0
151;H;pillow;pillow;a09acd0decd8a87ccce939d5ff65dab59e7d365b;6.2.2;patch;2020-01-02;2020-01-02;0
152;H;pillow;pillow;d8f55e3f50b0df2c850d15deedb46cb0e33a4cd8;2.5.0;minor;2014-06-30;2014-07-01;1
153;M;pillow;pillow;4e9f367dfd3f04c8f5d23f7f759ec12782e10ee7;2.3.1;patch;2014-03-14;2014-03-14;0
154;H;pip;pip;a4c735b14a62f9cb864533808ac63936704f2ace;19.2.1;patch;2019-06-11;2019-07-24;43
155;H;platformio;platformio-core;798b12ce7b097fdcb5056d84054fe157aa12a9ff;4.1.0;minor;2019-10-24;2019-11-07;13
157;M;py;py;4a9017dc6199d2a564b6e4b0aa39d6d8870e4144;1.10.0;minor;2020-09-04;2020-12-12;98
159;H;pygments;pygments;2e7e8c4a7b318f4032493773732754e418279a14;2.7.4;patch;2021-01-11;2021-01-12;1
161;H;pykmip;pykmip;06c960236bcaf6717fc5cf66cf8b5179804c5a05;0.8.0;minor;2018-04-24;2018-05-17;23
162;H;pylint;pylint;5405dd5115d598fa69e49538d50ec79202b1b52e;2.7.0;minor;2020-09-10;2021-02-21;166
163;M;pyomo;pyomo;00dbf2678430cc8dd8a5c30c7d9bc7974925cca4;5.7.2;patch;2020-10-06;2020-12-17;71
164;M;pyopenssl;pyopenssl;e73818600065821d588af475b024f4eb518c3509;17.5.0;minor;2017-11-30;2017-11-30;0
165;M;pypiserver;pypiserver;1375a67c55a9b8d4619df30d2a1c0b239d7357e6;1.2.6;patch;2019-01-24;2019-01-26;2
167;H;pyramid;pyramid;d0f62591ceb2f6ba6efe98ccf75703e7baee687e;1.1.1;patch;2011-05-27;2011-08-13;76
168;M;pyramid;pyramid;67efda77a878450c217b90370e1a47e2d35d772a;1.6.1;patch;2015-04-19;2016-02-02;288
169;M;pysaml2;pysaml2;751dbf50a51131b13d55989395f9b115045f9737;6.5.0;minor;2021-01-18;2021-01-20;2
170;M;pysaml2;pysaml2;3b707723dcf1bf60677b424aac398c0c3557641d;6.5.0;minor;2021-01-15;2021-01-20;5
171;M;pysaml2;pysaml2;5e9d5acbcd8ae45c4e736ac521fd2df5b1c62e25;5.0.0;major;2020-01-09;2020-01-13;4
172;M;pysaml2;pysaml2;79d679883f0b198511ea5eeaaf53f1f625e8d938;4.6.0;minor;2018-08-02;2018-08-07;5
173;M;pyspark;spark;09dd34cb1706f2477a89174d6a1a0f17ed5b0a65;2.3.2;patch;2018-09-13;2018-09-16;3
174;M;python3-saml;python3-saml;61eacb44d5789bd96edd11309a2bcae66e0d725f;1.5.0;minor;2019-01-29;2019-01-29;0
176;H;pyyaml;pyyaml;a001f2782501ad2d24986959f0239a354675f9dc;5.4.1;patch;2021-01-13;2021-01-20;7
177;H;pyyaml;pyyaml;5080ba513377b6355a0502104846ee804656f1e0;5.3.1;patch;2020-03-17;2020-03-18;1
178;H;pyyaml;pyyaml;bbcf95fa051fdba9bbf879332e2f7999b195cf95;5.1.1;patch;2017-08-26;2019-06-06;650
179;H;recurly;recurly-client-python;049c74699ce93cf126feff06d632ea63fba36742;2.6.2;patch;2017-11-08;2017-11-08;0
180;H;requests;requests;c45d7c49ea75133e52ab22a8e9e13173938e36ff;2.20.0;minor;2018-09-14;2018-10-17;33
181;M;requests;requests;3bd8afbff29e50b38f889b2f688785a669b9aafc;2.6.0;minor;2015-03-14;2015-03-14;0
182;M;requests;requests;4d8cb3244e8e4f84b250c10a48e025f9a8bf6137;2.3.0;minor;2014-03-12;2014-05-16;64
183;M;requests;requests;f1893c835570d72823c970fbd6e0e42c13b1f0f2;2.3.0;minor;2014-01-31;2014-05-16;105
184;M;requests;requests;c3e6c41fc164d4348f8ce197bd0075aff05637af;0.12.0;minor;2012-04-12;2012-05-02;20
185;M;requests-kerberos;requests-kerberos;208bebb7008796a07be0204d9b5beaa55d2373ae;0.6.1;patch;2014-11-04;2014-11-14;10
186;M;rply;rply;fc9bbcd25b0b4f09bbd6339f710ad24c129d5d7c;0.7.1;patch;2014-01-17;2014-01-17;0
187;M;rsa;python-rsa;93af6f2f89a9bf28361e67716c4240e691520f30;4.4.1;patch;2020-06-03;2020-06-12;9
188;M;rsa;python-rsa;2310b34bdb530e0bad793d42f589c9f848ff181b;3.4.1;patch;2016-01-22;2016-03-26;64
189;H;rsa;python-rsa;1681a0b2f84a4a252c71b87de870a2816de06fdf;3.4.1;patch;2016-01-22;2016-03-26;64
193;H;salt;salt;6e34c2b5e5e849302af7ccd00509929c3809c658;2016.11.4;patch;2017-04-10;2017-04-14;4
194;M;salt;salt;22d2f7a1ec93300c34e8c42d14ec39d51e610b5c;2014.7.4;patch;2015-03-25;2015-03-30;5
195;H;sanic;sanic;18829e648a26d947b7e441a9d7d012a24b0adf48;0.5.1;patch;2017-04-14;2017-04-14;0
196;H;scapy;scapy;0d7ae2b039f650a40e511d09eb961c782da025d9;2.4.1;patch;2018-05-11;2019-01-09;243
197;M;scapy;scapy;905c80d6ed435477224c53de8850f763b04d495d;2.4.1;patch;2018-05-11;2019-01-09;243
198;M;sceptre;sceptre;6d4124bdc9d4d5277c3f5cdc5eb7d6db9696b667;2.3.0;minor;2019-10-13;2020-02-03;115
199;H;scrapy;scrapy;43217fd698135b4795d191f8a935f3ba0b869c54;0.24.0;minor;2014-04-01;2014-06-26;85
201;H;splunk-sdk;splunk-sdk-python;35ca7747b5eb327723a42053f57ea960c15892ce;1.6.7;patch;2018-12-04;2019-09-12;283
203;M;svglib;svglib;d6d08c4323a3656ee5ebe9a072a6e6237efde800;0.9.4;patch;2020-03-22;2020-03-22;0
204;M;tensorflow;tensorflow;d58c96946b2880991d63d1dacacb32f0a4dfa453;2.4.0;minor;2020-09-18;2020-12-11;83
205;M;tensorflow;tensorflow;0b5662bc2be13a8c8f044d925d87fb6e56247cd8;2.4.0;minor;2020-09-18;2020-12-11;83
206;M;tensorflow;tensorflow;204945b19e44b57906c9344c0d00120eeeae178a;2.4.0;minor;2020-09-18;2020-12-11;83
207;M;tensorflow;tensorflow;00302787b788c5ff04cb6f62aed5a74d936e86c0;2.4.0;minor;2020-09-18;2020-12-11;83
208;H;tensorflow;tensorflow;8ee24e7949a203d234489f9da2c5bf45a7d5157d;2.4.0;minor;2020-09-18;2020-12-11;83
209;M;tensorflow;tensorflow;49f73c55d56edffebde4bca4a407ad69c1cae433;1.7.0;minor;2018-02-14;2018-03-28;44
210;L;tensorflow;tensorflow;db4f9717c41bccc3ce10099ab61996b246099892;2.0.0;major;2019-07-03;2019-09-27;84
211;H;tensorflow;tensorflow;c89ab82a82585cdaa90bf4911980e9e845909e78;0.1.7;patch;2018-04-09;2018-04-27;18
212;H;tensorflow;tensorflow;2006ef57602012939dc10d7e8961925b320d3ef6;1.7.1;patch;2018-04-17;2018-05-04;17
213;M;tensorflow;tensorflow;c48431588e7cf8aff61d4c299231e3e925144df8;1.6.0;minor;2018-01-30;2018-02-28;28
214;H;tensorflow;tensorflow;41335abb46f80ca644b5738550daef6136ba5476;0.1.7;patch;2018-03-19;2018-04-27;38
219;H;tensorflow-gpu;tensorflow;3ade2efec2e90c6237de32a19680caaa3ebc2845;2.4.0;minor;2020-08-25;2020-12-11;106
220;H;tensorflow-gpu;tensorflow;eccb7ec454e6617738554a255d77f08e60ee0808;2.4.0;minor;2020-10-19;2020-12-11;52
221;M;tensorflow-gpu;tensorflow;3cbb917b4714766030b28eba9fb41bb97ce9ee02;2.4.0;minor;2020-09-18;2020-12-11;83
222;M;tensorflow-gpu;tensorflow;22e07fb204386768e5bcbea563641ea11f96ceb8;2.4.0;minor;2020-09-18;2020-12-11;83
223;H;tensorflow-gpu;tensorflow;390611e0d45c5793c7066110af37c8514e6a6c54;2.4.0;minor;2020-09-18;2020-12-11;83
224;H;tensorflow-gpu;tensorflow;0462de5b544ed4731aa2fb23946ac22c01856b80;2.4.0;minor;2020-09-18;2020-12-11;83
225;H;tensorflow-gpu;tensorflow;27b417360cbd671ef55915e4bb6bb06af8b8a832;2.4.0;minor;2020-09-18;2020-12-11;83
226;M;tensorflow-gpu;tensorflow;9a133d73ae4b4664d22bd1aa6d654fec13c52ee1;2.4.0;minor;2020-09-18;2020-12-11;83
227;H;tensorflow-gpu;tensorflow;33be22c65d86256e6826666662e40dbdfe70ee83;2.4.0;minor;2020-09-18;2020-12-11;83
228;H;tensorflow-gpu;tensorflow;adf095206f25471e864a8e63a0f1caef53a0e3a6;2.4.0;minor;2020-09-18;2020-12-11;83
229;L;tensorflow-gpu;tensorflow;da8558533d925694483d2c136a9220d6d49d843c;2.4.0;minor;2020-09-18;2020-12-11;83
230;H;tensorflow-gpu;tensorflow;5ac1b9e24ff6afc465756edf845d2e9660bd34bf;2.2.0;minor;2019-12-20;2020-05-05;140
231;H;thrift;thrift;798e90aa8715ed0deff68ef4784926fe2be5c0ea;0.13.0;minor;2019-02-25;2019-10-11;226
232;H;thrift;thrift;d973409661f820d80d72c0034d06a12348c8705e;0.12.0;minor;2018-03-05;2018-12-18;283
233;H;tqdm;tqdm;7996430e92ca0babec510fcf18d62c9f9c4e6b4d;4.11.2;patch;2017-01-22;2017-01-23;1
234;M;twilio;twilio-python;022ea4cb852da3ec7cbd6da9cf09b46fc4742f99;3.5.0;minor;2013-05-20;2013-05-21;1
235;M;twine;twine;29e85757559154e919c9fe0a7f5803a425628855;1.6.0;minor;2015-04-15;2015-09-14;149
236;M;twisted;twisted;63a707ed62ec95fe0285ac061721bd5de81d2e37;19.2.0;minor;2018-10-20;2019-04-07;172
237;H;twisted;twisted;6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2;19.7.0;minor;2019-06-05;2019-07-28;53
238;L;twisted;twisted;3b5942252f5f3e45862a0e12b266ab29e243cc33;14.0.1;patch;2014-09-17;2014-09-17;0
239;M;ua-parser;uap-python;c81b1cbc20f9b52e09621573d3b34b7a6b7dbd73;0.5.1;patch;2015-09-20;2015-11-11;51
240;M;urllib3;urllib3;8d65ea1ecf6e2cdc27d42124e587c1b83a3118b0;1.26.4;patch;2021-03-15;2021-03-15;0
241;M;urllib3;urllib3;2088570a293df42b1623dd74fcff0174d0565af5;1.8.1;patch;2014-01-26;2014-04-17;81
242;H;urllib3;urllib3;1dd69c5c5982fae7c87a620d487c2ebf7a6b436b;1.25.9;patch;2020-02-17;2020-04-16;59
243;H;urllib3;urllib3;5d523706c7b03f947dc50a7e783758a2bfff0532;1.25.1;patch;2019-04-20;2019-04-24;4
244;L;urllib3;urllib3;5e36a7096455ea94fb28b623d64e1f1bad97f822;1.19.1;patch;2016-10-27;2016-11-16;19
245;M;wagtail;wagtail;d9a41e7f24d08c024acc9a3094940199df94db34;2.10.1;patch;2020-07-20;2020-08-26;36
246;L;waitress;waitress;4deab9f23f9eb273971da247981aa85b7a16e946;0.9.0;minor;2016-03-19;2016-04-15;26
247;H;waitress;waitress;6e46f9e3f014d64dd7d1e258eaf626e39870ee1f;1.4.3;patch;2020-02-02;2020-02-02;0
248;H;waitress;waitress;575994cd42e83fd772a5f7ec98b2c56751bd3f65;1.4.0;minor;2019-12-19;2019-12-20;1
