Package name;Clone url
tornado;https://github.com/tornadoweb/tornado.git
tqdm;https://github.com/tqdm/tqdm.git
tweepy;https://github.com/tweepy/tweepy.git
twilio;https://github.com/twilio/twilio-python.git
twine;https://github.com/pypa/twine.git
twisted;https://github.com/twisted/twisted.git
urllib;https://github.com/urllib3/urllib3.git
urllib3;https://github.com/urllib3/urllib3.git
uvicorn;https://github.com/encode/uvicorn.git
uwsgi;https://github.com/uwsgi/uwsgi.git
validators;https://github.com/kvesteri/validators.git
virtualenv;https://github.com/edwardgeorge/virtualenv-clone.git
wagtail;https://github.com/wagtail/wagtail.git
wagtail-2fa;https://github.com/wagtail/wagtail.git
waitress;https://github.com/Pylons/waitress.git
webargs;https://github.com/marshmallow-code/webargs.git
websocket-client;https://github.com/websocket-client/websocket-client.git
websockets;https://github.com/aaugustin/websockets.git
werkzeug;https://github.com/pallets/werkzeug.git
widgetsnbextension;https://github.com/widgetsnbextension/widgetsnbextension.git
wtforms;https://github.com/wtforms/wtforms.git
zodb;https://github.com/zopefoundation/zodbpickle.git
