Vuln ID;Package name;Clone dir;Commit hash;Release;Commit date;Release date;Time interval
13;tensorflow-gpu;tensorflow;27b417360cbd671ef55915e4bb6bb06af8b8a832;v2.4.0-rc0;2020-09-18;2020-11-01;43
15;tensorflow-gpu;tensorflow;9a133d73ae4b4664d22bd1aa6d654fec13c52ee1;v2.4.0-rc0;2020-09-18;2020-11-01;43
16;tensorflow-gpu;tensorflow;33be22c65d86256e6826666662e40dbdfe70ee83;v2.4.0-rc0;2020-09-18;2020-11-01;43
17;tensorflow-gpu;tensorflow;adf095206f25471e864a8e63a0f1caef53a0e3a6;v2.4.0-rc0;2020-09-18;2020-11-01;43
18;tensorflow-gpu;tensorflow;da8558533d925694483d2c136a9220d6d49d843c;v2.4.0-rc0;2020-09-18;2020-11-01;43
55;tensorflow-gpu;tensorflow;5ac1b9e24ff6afc465756edf845d2e9660bd34bf;v2.2.0-rc0;2019-12-20;2020-03-10;85
76;thrift;thrift;798e90aa8715ed0deff68ef4784926fe2be5c0ea;v0.13.0;2019-02-25;2019-10-11;226
87;thrift;thrift;d973409661f820d80d72c0034d06a12348c8705e;v0.12.0;2018-03-05;2018-12-18;283
169;tqdm;tqdm;7996430e92ca0babec510fcf18d62c9f9c4e6b4d;v4.11.2;2017-01-22;2017-01-23;1
208;twilio;twilio-python;022ea4cb852da3ec7cbd6da9cf09b46fc4742f99;3.5.0;2013-05-20;2013-05-21;1
191;twine;twine;29e85757559154e919c9fe0a7f5803a425628855;1.6.0;2015-04-15;2015-09-14;149
45;twisted;twisted;63a707ed62ec95fe0285ac061721bd5de81d2e37;twisted-19.2.0;2018-10-20;2019-04-07;172
96;twisted;twisted;6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2;twisted-19.7.0;2019-06-05;2019-07-28;53
193;twisted;twisted;3b5942252f5f3e45862a0e12b266ab29e243cc33;twisted-14.0.1;2014-09-17;2014-09-17;0
184;ua-parser;uap-python;c81b1cbc20f9b52e09621573d3b34b7a6b7dbd73;0.5.1;2015-09-20;2015-11-11;51
4;urllib3;urllib3;1dd69c5c5982fae7c87a620d487c2ebf7a6b436b;1.25.9;2020-02-17;2020-04-16;59
102;urllib3;urllib3;5d523706c7b03f947dc50a7e783758a2bfff0532;1.25;2019-04-20;2019-04-22;2
173;urllib3;urllib3;5e36a7096455ea94fb28b623d64e1f1bad97f822;1.19;2016-10-27;2016-11-03;6
24;wagtail;wagtail;d9a41e7f24d08c024acc9a3094940199df94db34;v2.10rc1;2020-07-20;2020-07-27;7
46;waitress;waitress;4deab9f23f9eb273971da247981aa85b7a16e946;v0.9.0b1;2016-03-19;2016-04-09;20
54;waitress;waitress;6e46f9e3f014d64dd7d1e258eaf626e39870ee1f;v1.4.3;2020-02-02;2020-02-02;0
58;waitress;waitress;575994cd42e83fd772a5f7ec98b2c56751bd3f65;v1.4.0;2019-12-19;2019-12-20;1
65;waitress;waitress;11d9e138125ad46e951027184b13242a3c1de017;v1.4.1;2019-12-24;2019-12-24;0
66;waitress;waitress;8eba394ad75deaf9e5cd15b78a3d16b12e6b0eba;v1.4.0;2019-12-19;2019-12-20;1
67;waitress;waitress;f11093a6b3240fc26830b6111e826128af7771c3;v1.4.0;2019-12-20;2019-12-20;0
183;waitress;waitress;07e21576ef272a1bbd5410ef34f479e31ee68665;0.8.11b0;2016-01-03;2016-03-15;72
192;waitress;waitress;7f4e0f7b9c14aba74dd1da7a030072d79ca99b6b;v1.0a1;2016-06-24;2016-06-24;0
47;webargs;webargs;74fada601a31b03dca0e4ae34c7d40246dcef598;5.5.3;2020-01-28;2020-01-28;0
182;webob;webob;97041f58fcee30b37a8c0fba0108cf69c6e01330;1.6.0a0;2016-01-03;2016-01-28;25
186;websocket-client;websocket-client;896e7c7317def65f7f8fb27a3eed807f2e1e5386;v0.33.0;2015-09-21;2015-10-27;36
134;websockets;websockets;b6a25ceb3555d0ba69e5961b8d7616e4c1aecb2b;5.0;2018-05-20;2018-05-22;2
41;werkzeug;werkzeug;84eabcaa81f60d47939ac2d43f01d01eeab598a4;0.4;2008-06-24;2008-11-23;149
82;werkzeug;werkzeug;00bc43b1672e662e5e3b8cecd79e67fc968fa246;0.15.3;2019-05-14;2019-05-14;0
174;werkzeug;werkzeug;1034edc7f901dd645ec6e462754111b39002bd65;0.11.11;2016-08-31;2016-08-31;0
215;werkzeug;werkzeug;7b8d887d33c768a77f40dd15ff5ac6ebbbab25b9;0.8.3;2012-02-05;2012-02-05;0
15;ansible;ansible;6452a82452f3a721233b50f62419598206442fd9;stable-2.10-branchpoint;2020-03-25;2020-06-17;82
17;ansible;ansible;a20a52701402a12f91396549df04ac55809f68e9;stable-2.10-branchpoint;2020-04-01;2020-06-17;76
20;ansible;ansible;28f9fbdb5e281976e33f443193047068afb97a9b;stable-2.10-branchpoint;2020-04-03;2020-06-17;74
21;ansible;ansible;ba87c225cd13343c35075fe7fc15b4cf1343fed6;stable-2.10-branchpoint;2020-04-08;2020-06-17;69
23;ansible;ansible;8077d8e40148fe77e2393caa5f2b2ea855149d63;stable-2.10-branchpoint;2020-04-13;2020-06-17;64
24;ansible;ansible;d91658ec0c8434c82c3ef98bfe9eb4e1027a43a3;stable-2.10-branchpoint;2020-04-13;2020-06-17;64
25;ansible;ansible;d30c57ab22db24f6901166fcc3155667bdd3443f;pre-ansible-base;2020-02-28;2020-03-06;8
26;ansible;ansible;d41e38435b1a9e300d8011ac28f16a5add2db119;v2.9.7;2020-04-14;2020-04-16;2
27;ansible;ansible;7f4befdea77045fa83b5f2b304bd5e16b219f74c;pre-ansible-base;2019-10-11;2020-03-06;150
31;ansible;ansible;c76e074e4c71c7621a1ca8159261c1959b5287af;pre-ansible-base;2019-11-01;2020-03-06;130
37;ansible;ansible;b9b0b230150eceb442c34c917d9e852d5e8b7371;stable-2.9-branchpoint;2019-06-06;2019-08-29;83
39;ansible;ansible;b34d141eede8731e63cbb0312efce31559c44022;v2.8.0a1;2019-02-13;2019-04-04;51
7;apache-airflow;airflow;24ca556059c7e434ac41aa353284bcf61a150545;nightly;2020-01-18;2020-04-21;93
8;apache-airflow;airflow;6943b171da6537ad6721cc7527b24236f901ee04;backport-providers-2020.6.24;2020-06-08;2020-06-19;11
47;bleach;bleach;c5df5789ec3471a31311f42c2d19fc2cf21b35ef;v2.1.3;2018-03-05;2018-03-05;0
28;ecdsa;python-ecdsa;434f5dba086995e17dddd8df06007aa5e5dd9dad;python-ecdsa-0.14;2019-09-27;2019-11-06;39
13;fastapi;fastapi;6c6bdb62337ab2e05438d99fce66113e375ddb04;0.37.0;2019-08-30;2019-08-30;0
34;flask;flask;465b48ed4e4af52493df1febe4687f53032a5e0a;1.0;2018-04-10;2018-04-26;16
2;flask-cors;flask-cors;67c4b2cc98ae87cf1fa7df4f97fd81b40c79b895;3.0.9;2020-08-30;2020-08-30;0
12;gdal;gdal;b071b8140547137984e8a9763f6a444660a94f40;v3.1.0RC1;2020-02-01;2020-04-27;86
35;knack;knack;14848858cc7b2d76a8ef0d88f6d616f8577f0c56;v0.5.2;2019-02-11;2019-02-11;0
14;markdown2;python-markdown2;1353baedc71b3784b43614299f4c6106ef299c83;2.3.9;2020-05-11;2020-05-11;0
42;mitmproxy;mitmproxy;7f464b89296881f4d9ec032378c4418e832d17e3;v5.0.0;2018-07-17;2019-12-16;514
29;notebook;notebook;e321c80776542b8d6f3411af16f9e21e51e27687;5.5.0rc1;2018-03-09;2018-05-01;52
49;oauth2;python-oauth2;82dd2cdd4954cd7b8983d5d64c0dfd9072bf4650;v1.9RC1;2015-07-28;2015-08-03;5
9;pillow;Pillow;2ef59fdbaeb756bc512ab3f2ad15ac45665b303d;7.1.0;2020-04-01;2020-04-01;0
10;pillow;Pillow;0da1eca7cfcea4ea67692ecec8dfd16837242da2;7.1.0;2020-04-01;2020-04-01;0
30;pyarrow;arrow;1e6a584304aab413154db7d27f90dc0e69f374b5;apache-arrow-0.15.0;2019-09-16;2019-09-30;14
16;pylint;pylint;5d63f2a13c7aea499ae648fb00d86b43f24a9ba2;pylint-2.5.0;2020-03-12;2020-04-27;45
