Vuln ID;Severity;Package name;Clone dir;Commit hash
225;H;tensorflow-gpu;tensorflow;27b417360cbd671ef55915e4bb6bb06af8b8a832
226;M;tensorflow-gpu;tensorflow;9a133d73ae4b4664d22bd1aa6d654fec13c52ee1
227;H;tensorflow-gpu;tensorflow;33be22c65d86256e6826666662e40dbdfe70ee83
228;H;tensorflow-gpu;tensorflow;adf095206f25471e864a8e63a0f1caef53a0e3a6
229;L;tensorflow-gpu;tensorflow;da8558533d925694483d2c136a9220d6d49d843c
230;H;tensorflow-gpu;tensorflow;5ac1b9e24ff6afc465756edf845d2e9660bd34bf
231;H;thrift;thrift;798e90aa8715ed0deff68ef4784926fe2be5c0ea
232;H;thrift;thrift;d973409661f820d80d72c0034d06a12348c8705e
233;H;tqdm;tqdm;7996430e92ca0babec510fcf18d62c9f9c4e6b4d
234;M;twilio;twilio-python;022ea4cb852da3ec7cbd6da9cf09b46fc4742f99
235;M;twine;twine;29e85757559154e919c9fe0a7f5803a425628855
236;M;twisted;twisted;63a707ed62ec95fe0285ac061721bd5de81d2e37
237;H;twisted;twisted;6c61fc4503ae39ab8ecee52d10f10ee2c371d7e2
238;L;twisted;twisted;3b5942252f5f3e45862a0e12b266ab29e243cc33
239;M;ua-parser;uap-python;c81b1cbc20f9b52e09621573d3b34b7a6b7dbd73
240;M;urllib3;urllib3;8d65ea1ecf6e2cdc27d42124e587c1b83a3118b0
241;M;urllib3;urllib3;2088570a293df42b1623dd74fcff0174d0565af5
242;H;urllib3;urllib3;1dd69c5c5982fae7c87a620d487c2ebf7a6b436b
243;H;urllib3;urllib3;5d523706c7b03f947dc50a7e783758a2bfff0532
244;L;urllib3;urllib3;5e36a7096455ea94fb28b623d64e1f1bad97f822
245;M;wagtail;wagtail;d9a41e7f24d08c024acc9a3094940199df94db34
246;L;waitress;waitress;4deab9f23f9eb273971da247981aa85b7a16e946
247;H;waitress;waitress;6e46f9e3f014d64dd7d1e258eaf626e39870ee1f
