package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
aliyun-python-sdk-core;https://github.com/aliyun/aliyun-openapi-python-sdk;21011777;1090;300
aliyun-python-sdk-core-v3;https://github.com/aliyun/aliyun-openapi-python-sdk;21011777;1090;300
aliyunsdkcore;https://github.com/duangy/aliyunsdkcore;20076780;;
allennlp;https://github.com/allenai/allennlp;342633;1450;58
allure-behave;https://github.com/allure-framework/allure-python;1895984;1728;14
allure-pytest;https://github.com/allure-framework/allure-python;1895984;1728;14
allure-python-commons;https://github.com/allure-framework/allure-python;1895984;1728;14
alpha-vantage;https://github.com/romeltorres/alpha_vantage;1151352;;
altair;https://github.com/altair-viz/altair;3004547;8967;146
altgraph;https://github.com/ronaldoussoren/altgraph;5618559;;
amazon-kclpy;https://github.com/awslabs/amazon-kinesis-client-python;323816;;
amqp;https://github.com/celery/py-amqp;30314544;;
amqplib;https://github.com/barryp/py-amqplib;464717;;
analytics-python;https://github.com/segmentio/analytics-python;3577831;620;35
androguard;https://github.com/androguard/androguard;572842;276;26
annoy;https://github.com/spotify/annoy;1985892;1427;70
ansi2html;https://github.com/pycontribs/ansi2html;669975;;
ansible;https://github.com/ansible/ansible;41640560;15797;313
ansible-lint;https://github.com/ansible-community/ansible-lint;3420686;;
ansible-modules-hashivault;https://github.com/terryhowe/ansible-modules-hashivault;283440;340;0
ansible-runner;https://github.com/ansible/ansible-runner;632188;484;12
ansible-tower-cli;https://github.com/ansible/tower-cli;1504519;;
ansible-vault;https://github.com/tomoh1r/ansible-vault;512545;;
ansicolors;https://github.com/jonathaneunice/colors;1393999;;
ansiwrap;https://github.com/jonathaneunice/ansiwrap;1930579;;
antigate;https://github.com/gotlium/antigate;426588;;
anybadge;https://github.com/jongracecox/anybadge;388919;61;53
anyconfig;https://github.com/ssato/python-anyconfig;2022349;1353;57
anytemplate;https://github.com/ssato/python-anytemplate;388550;;
anytree;https://github.com/c0fec0de/anytree;1006412;;
apache-airflow;https://github.com/apache/airflow;5893845;;
apache-libcloud;https://github.com/apache/libcloud;1221022;1565;118
apiclient;https://github.com/shazow/apiclient;1001114;1122;25
apipkg;https://github.com/pytest-dev/apipkg;19672392;;
apispec;https://github.com/marshmallow-code/apispec;7648464;2589;161
apispec-webframeworks;https://github.com/marshmallow-code/apispec-webframeworks;428727;;
apns2;https://github.com/pr0ger/pyapns2;594469;502;7
appdirs;https://github.com/activestate/appdirs;90893079;;
appium-python-client;https://github.com/appium/python-client;2326749;2032;82
applicationinsights;https://github.com/microsoft/applicationinsights-python;31694587;1323;29
appnope;https://github.com/minrk/appnope;9397742;;
apscheduler;https://github.com/agronholm/apscheduler;7796490;;
ara;https://github.com/ansible-community/ara;637969;;
argcomplete;https://github.com/kislyuk/argcomplete;26111795;8589;459
argh;https://github.com/neithere/argh;11140727;;
argo-models;https://github.com/e2fyi/argo-models;279534;;
argon2-cffi;https://github.com/hynek/argon2-cffi;3623816;;
argparse;https://github.com/thomaswaldmann/argparse;83057852;48772;2419
args;https://github.com/kennethreitz-archive/args;2222692;;
ariadne;https://github.com/mirumee/ariadne;462506;328;16
arpeggio;https://github.com/textx/arpeggio;280466;;
arrow;https://github.com/arrow-py/arrow;25462978;17456;912
artifactory;https://github.com/parallels/artifactory;940589;33;6
artifacts-keyring;https://github.com/microsoft/artifacts-keyring;370844;;
arviz;https://github.com/arviz-devs/arviz;606314;738;34
asana;https://github.com/asana/python-asana;1528832;232;9
asciitree;https://github.com/mbr/asciitree;273563;;
asgi-redis;https://github.com/django/channels_redis;1412216;;
asgiref;https://github.com/django/asgiref;13885068;;
asn1crypto;https://github.com/wbond/asn1crypto;105633231;74518;306
aspy-refactor-imports;https://github.com/asottile/aspy.refactor_imports;734947;;
aspy-yaml;https://github.com/asottile-archive/aspy.yaml;7640950;;
assertpy;https://github.com/assertpy/assertpy;778574;406;25
asset;https://github.com/metagriffin/asset;727321;;
asteval;https://github.com/newville/asteval;641395;466;40
astor;https://github.com/berkerpeksag/astor;47751369;;
astral;https://github.com/sffjunkie/astral;3233856;;
astroid;https://github.com/pycqa/astroid;55472730;142182;362
astropy;https://github.com/astropy/astropy;2391932;23480;1121
asttokens;https://github.com/gristlabs/asttokens;529853;;
astunparse;https://github.com/simonpercivall/astunparse;7227063;14724;161
async-exit-stack;https://github.com/sorcio/async_exit_stack;383464;;
async-generator;https://github.com/python-trio/async_generator;5758028;;
asyncio;https://github.com/python/asyncio;4290537;;
asyncio-nats-client;https://github.com/nats-io/nats.py;892586;397;26
asyncio-nats-streaming;https://github.com/nats-io/stan.py;434665;;
async-lru;https://github.com/aio-libs/async-lru;925775;;
asyncpg;https://github.com/magicstack/asyncpg;2572733;4261;198
asyncssh;https://github.com/ronf/asyncssh;963539;334;80
asynctest;https://github.com/martiusweb/asynctest;3178330;;
async-timeout;https://github.com/aio-libs/async-timeout;53613556;46782;390
atari-py;https://github.com/openai/atari-py;1082541;2875;24
atlassian-jwt-auth;https://github.com/atlassian/asap-authentication-python;4083822;;
atlassian-python-api;https://github.com/atlassian-api/atlassian-python-api;441727;151;25
atomicwrites;https://github.com/untitaker/python-atomicwrites;78057531;64110;305
attr;https://github.com/denis-ryzhkov/attr;596236;696;80
attrdict;https://github.com/bcj/attrdict;2918943;4167;198
attrs;https://github.com/python-attrs/attrs;277066386;209771;2427
audioread;https://github.com/beetbox/audioread;2713244;4390;37
auditwheel;https://github.com/pypa/auditwheel;1002820;;
auth;https://github.com/ourway/auth;1116644;;
auth0-python;https://github.com/auth0/auth0-python;1131685;231;14
authlib;https://github.com/lepture/authlib;4302140;12293;83
authy;https://github.com/twilio/authy-python;1579793;229;2
autobahn;https://github.com/crossbario/autobahn-python;3420905;11860;197
autoflake;https://github.com/myint/autoflake;1810334;1788;192
autograd;https://github.com/hips/autograd;2645323;1530;99
autograd-gamma;https://github.com/camdavidsonpilon/autograd-gamma;760416;;
automat;https://github.com/glyph/automat;19553606;27474;64
autopep8;https://github.com/hhatto/autopep8;14551082;68137;581
autosemver;https://github.com/david-caro/python-autosemver;661423;;
autowrapt;https://github.com/grahamdumpleton/autowrapt;3935676;;
av;https://github.com/pyav-org/pyav;504000;961;36
avalara;https://github.com/avadev/avatax-rest-v2-python-sdk;515036;;
avro-gen;https://github.com/rbystrit/avro_gen;358630;6;0
awacs;https://github.com/cloudtools/awacs;2302151;328;35
awesome-slugify;https://github.com/voronind/awesome-slugify;692543;2657;90
awkward;https://github.com/scikit-hep/awkward-1.0;429787;;
aws;https://github.com/eofs/aws;623319;;
aws-cdk-aws-apigateway;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-applicationautoscaling;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-autoscaling;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-autoscaling-common;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-autoscaling-hooktargets;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-certificatemanager;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-cloudformation;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-cloudfront;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-codebuild;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-codecommit;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-codepipeline;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-ec2;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-ecr;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-ecr-assets;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-ecs;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-elasticloadbalancing;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-elasticloadbalancingv2;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-events;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-events-targets;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-iam;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-kms;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-lambda;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-logs;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-route53;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-route53-targets;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-s3;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-s3-assets;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-sam;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-secretsmanager;https://github.com/aws/aws-cdk;613325;6243;273
aws-cdk-aws-servicediscovery;https://github.com/aws/aws-cdk;613325;6243;273
