package_name;github_url;pypi_downloads;dep_repos;dep_pkgs
astropy;http://github.com/astropy/astropy;2391932;17030;914
asttokens;https://github.com/gristlabs/asttokens;529853;;
astunparse;https://github.com/simonpercivall/astunparse;7227063;4460;94
async-exit-stack;https://github.com/sorcio/async_exit_stack;383464;;
async-generator;https://github.com/python-trio/async_generator;5758028;;
asyncio;https://github.com/python/asyncio;4290537;;
asyncio-nats-client;https://github.com/nats-io/nats.py;892586;309;19
asyncio-nats-streaming;https://github.com/nats-io/stan.py;434665;34;2
async-lru;https://github.com/wikibusiness/async_lru;925775;;
asyncpg;https://github.com/MagicStack/asyncpg;2572733;2554;143
asynctest;https://github.com/Martiusweb/asynctest;3178330;;
async-timeout;https://github.com/aio-libs/async_timeout;53613556;30294;318
atari-py;https://github.com/openai/atari-py;1082541;1867;19
atlassian-jwt-auth;https://github.com/atlassian-jwt-auth/atlassian-jwt-auth;4083822;;
atlassian-python-api;https://github.com/atlassian-api/atlassian-python-api;441727;89;16
atomicwrites;https://github.com/untitaker/python-atomicwrites;78057531;49124;259
atpublic;https://github.com/atpublic/atpublic;605753;;
attr;https://github.com/denis-ryzhkov/attr;596236;497;60
attrdict;https://github.com/bcj/AttrDict;2918943;3319;170
attrs;https://github.com/python-attrs/attrs;277066386;144083;1946
audioread;https://github.com/sampsyo/audioread;2713244;2806;29
auditwheel;https://github.com/pypa/auditwheel;1002820;;
auth;https://github.com/ourway/auth;1116644;;
auth0-python;https://github.com/auth0/auth0-python;1131685;175;13
authlib;https://github.com/lepture/authlib;4302140;7637;47
authy;http://github.com/authy/authy-python;1579793;187;2
autobahn;https://github.com/crossbario/autobahn-python;3420905;8668;180
autoflake;https://github.com/myint/autoflake;1810334;1213;
autograd;https://github.com/HIPS/autograd;2645323;913;83
autograd-gamma;https://github.com/CamDavidsonPilon/autograd-gamma;760416;109;7
automat;https://github.com/glyph/Automat;19553606;20423;54
automaton;https://github.com/automaton/automaton;564074;;
autopep8;https://github.com/hhatto/autopep8;14551082;46359;451
autosemver;https://github.com/david-caro/python-autosemver;661423;;
autowrapt;https://github.com/GrahamDumpleton/autowrapt;3935676;;
av;https://github.com/PyAV-Org/PyAV;504000;567;31
avalara;https://github.com/avadev/AvaTax-REST-V2-Python-SDK;515036;;
avro;https://github.com/avro/avro;14719978;;
avro-gen;https://github.com/rbystrit/avro_gen;358630;;
avro-python3;https://github.com/avro-python3/avro-python3;12748527;;
awacs;https://github.com/cloudtools/awacs;2302151;283;34
awesome-slugify;https://github.com/dimka665/awesome-slugify;692543;2309;85
awkward;https://github.com/scikit-hep/awkward-array;429787;86;12
aws;https://github.com/eofs/aws;623319;217;
aws-cdk-core;https://github.com/aws/aws-cdk;613325;3119;193
awscli;https://github.com/aws/aws-cli;420684707;15708;278
awscli-cwlogs;https://github.com/awscli-cwlogs/awscli-cwlogs;62396116;;
aws-configure;https://github.com/qoomon/aws-configure;332361;;
awsebcli;https://github.com/aws/aws-elastic-beanstalk-cli-setup;2617107;;
aws-encryption-sdk;https://github.com/aws/aws-encryption-sdk-python;2933649;58;5
awsiotpythonsdk;https://github.com/aws/aws-iot-device-sdk-python;1010331;361;13
aws-kinesis-agg;http://github.com/awslabs/kinesis-aggregation;282300;47;7
aws-lambda-builders;https://github.com/awslabs/aws-lambda-builders;1852901;;
awslogs;https://github.com/jorgebastida/awslogs;513767;79;6
aws-parallelcluster-node;https://github.com/aws/aws-parallelcluster-node;536185;;
aws-requests-auth;https://github.com/davidmuller/aws-requests-auth;3420785;399;29
aws-sam-cli;https://github.com/awslabs/aws-sam-cli;1878279;635;10
aws-sam-translator;https://github.com/awslabs/serverless-application-model;10563094;1074;9
aws-xray-sdk;https://github.com/aws/aws-xray-sdk-python;12562071;1459;16
azure-cli;https://github.com/Azure/azure-cli;8412355;248;16
azure-common;https://github.com/Azure/azure-sdk-for-python;83321574;1294;100
azure-core;https://github.com/azure/azure-sdk-for-python;34653021;1306;100
azure-cosmosdb-table;https://github.com/Azure/azure-cosmosdb-python;12707767;392;5
azure-datalake-store;https://github.com/Azure/azure-data-lake-store-python;18490888;644;25
azure-devops;https://github.com/Microsoft/vsts-python-api;45341674;;
azure-devtools;https://github.com/Azure/azure-python-devtools;392661;;
azure-eventhub;https://github.com/azure/azure-sdk-for-python;3605262;1306;100
azure-functions;https://github.com/azure-functions/azure-functions;661340;;
azure-functions-devops-build;https://github.com/Azure/azure-functions-devops-build;2500793;;
azure-identity;https://github.com/azure/azure-sdk-for-python;4523089;1306;100
azure-keyvault;https://github.com/azure/azure-sdk-for-python;15109795;1306;100
azure-keyvault-certificates;https://github.com/azure/azure-sdk-for-python;301479;;100
azure-keyvault-keys;https://github.com/azure/azure-sdk-for-python;895509;1306;100
azure-keyvault-secrets;https://github.com/azure/azure-sdk-for-python;1627509;1306;100
azure-kusto-data;https://github.com/Azure/azure-kusto-python;7382641;84;6
azure-log-analytics-data-collector-api;https://github.com/yokawasa/azure-log-analytics-data-collector-python;271663;;
azure-mgmt-core;https://github.com/azure/azure-sdk-for-python;1233137;1306;100
azureml;https://github.com/Azure/Azure-MachineLearning-ClientLibrary-Python;472170;100;
azureml-automl-core;https://github.com/azureml-automl-core/azureml-automl-core;2005811;;
azureml-automl-runtime;https://github.com/azureml-automl-runtime/azureml-automl-runtime;362443;;
azureml-contrib-services;https://github.com/azureml-contrib-services/azureml-contrib-services;900445;;
azureml-core;https://github.com/azureml-core/azureml-core;6285594;;
