package_name;pypi_downloads;github_url;stars;last_commit;commit_freq;release_freq;open_issues;closed_issues;api_closed_issues;avg_days_to_close_issue;contributors;dep_repos;dep_pkgs;libraries_io_url;sourcerank;dep_repos;dep_pkgs
pandas;233578393;https://github.com/pandas-dev/pandas;26164;2020-08-17;198;0.99;3.5k;15150;100;2;2,058;265,428;13,551;https://libraries.io/pypi/pandas;26;1.48K;38.4K
pyparsing;228188646;;;;0;0;;;0;0;;;;https://libraries.io/pypi/pyparsing;23;363;29.5K
cachetools;222701004;;;;0;0;;;0;0;;;;https://libraries.io/pypi/cachetools;20;186;2.22K
pycparser;220636529;https://github.com/eliben/pycparser;2022;2020-07-18;5;0;8;241;100;39;60;121,095;476;https://libraries.io/pypi/pycparser;20;130;16.1K
oauthlib;216490470;https://github.com/oauthlib/oauthlib;2073;2020-07-28;14;0.48;61;254;100;103;148;80,366;379;https://libraries.io/pypi/oauthlib;22;73;10.2K
google-auth;216027891;https://github.com/googleapis/google-auth-library-python;339;2020-08-06;7;1.32;35;190;100;56;64;30,428;343;https://libraries.io/pypi/google-auth;21;165;1.83K
requests-oauthlib;214771269;https://github.com/requests/requests-oauthlib;1278;2020-05-14;5;0.19;71;129;100;165;88;75,657;579;https://libraries.io/pypi/requests-oauthlib;21;227;10.9K
werkzeug;197742586;https://github.com/pallets/werkzeug;5417;2020-08-17;36;0.54;37;762;100;14;368;345,914;1,391;https://libraries.io/pypi/Werkzeug;26;411;67.7K
decorator;197486884;https://github.com/micheles/decorator;433;2020-07-27;3;0.07;2;54;54;36;17;141,430;912;https://libraries.io/pypi/decorator;22;250;23.2K
scipy;188420981;https://github.com/scipy/scipy;7423;2020-08-18;213;1.06;1.2k;5380;100;8;899;219,091;11,134;https://libraries.io/pypi/scipy;26;1K;43.4K
packaging;184987665;https://github.com/pypa/packaging;229;2020-08-06;5;0.39;32;101;100;104;54;109,498;1,123;https://libraries.io/pypi/packaging;21;374;14.6K
google-api-core;183602669;https://github.com/googleapis/python-api-core;10;2020-08-12;22;5.5;7;21;21;14;33;11,388;161;https://libraries.io/pypi/google-api-core;18;95;617
wcwidth;177238272;https://github.com/jquast/wcwidth;164;2020-07-14;2;0.17;6;18;18;159;8;127,039;431;https://libraries.io/pypi/wcwidth;20;118;12.7K
more-itertools;172880256;https://github.com/more-itertools/more-itertools;1490;2020-08-11;9;0.31;4;123;100;28;50;77,364;580;https://libraries.io/pypi/more-itertools;21;192;7.45K
grpcio;169509068;;;;0;0;;;0;0;;;;https://libraries.io/pypi/grpcio;15;316;3.38K
googleapis-common-protos;164645909;https://github.com/googleapis/python-api-common-protos;2;2020-06-12;4;0.25;3;4;4;17;4;14,551;243;https://libraries.io/pypi/googleapis-common-protos;20;100;1.04K
pytest;162640402;https://github.com/pytest-dev/pytest;6349;2020-08-17;206;2.48;572;3563;100;5;552;203,349;16,182;https://libraries.io/pypi/pytest;28;1.4K;65.3K
jsonschema;162467700;https://github.com/Julian/jsonschema;2887;2020-08-14;16;0;56;455;100;13;73;100,341;1,878;https://libraries.io/pypi/jsonschema;22;813;15.5K
enum34;154781554;;;;0;0;;;0;0;;;;https://libraries.io/pypi/enum34;17;612;12.6K
google-cloud-core;154309369;https://github.com/googleapis/python-cloud-core;2;2020-08-06;38;3.0;2;5;5;1;27;8,480;94;https://libraries.io/pypi/google-cloud-core;18;47;718
